met,conc,conc_lb,conc_ub,met_id
glyc3p[e],0.000107391,1.29E-05,0.000187,glyc3p_e
glyc3p[p],0.000106941,1.29E-05,0.000187,glyc3p_p
glyc-R[c],0.000742975,0.000644,0.00308,glyc__R_c
glyc-R[e],0.001971521,0.000644,0.00308,glyc__R_e
glyc-R[p],0.000770608,0.000644,0.00308,glyc__R_p
gmp[c],2.55E-05,1.66E-05,3.38E-05,gmp_c
gmp[e],3.01E-05,1.66E-05,3.38E-05,gmp_e
gmp[p],2.55E-05,1.66E-05,3.38E-05,gmp_p
gsn[c],1.70E-06,1.22E-06,2.17E-06,gsn_c
gsn[e],2.17E-06,1.22E-06,2.17E-06,gsn_e
gsn[p],1.79E-06,1.22E-06,2.17E-06,gsn_p
gthox[c],0.00240287,0.00194,0.0029,gthox_c
gthox[e],0.002425603,0.00194,0.0029,gthox_e
gthox[p],0.002426513,0.00194,0.0029,gthox_p
gthrd[c],0.015390278,0.0153,0.0179,gthrd_c
gthrd[e],0.015808241,0.0153,0.0179,gthrd_e
gthrd[p],0.015417999,0.0153,0.0179,gthrd_p
gtp[c],0.001781786,0.00157,0.0151,gtp_c
gtp[e],0.004581407,0.00157,0.0151,gtp_e
gtp[p],0.001634432,0.00157,0.0151,gtp_p
gua[c],0.000202433,0.000132,0.000269,gua_c
gua[e],0.000255369,0.000132,0.000269,gua_e
gua[p],0.000268925,0.000132,0.000269,gua_p
h2o[c],1,1,1,h2o_c
h2o[e],1,1,1,h2o_e
h2o[p],1,1,1,h2o_p
h[c],1,1,1,h_c
h[e],1,1,1,h_e
h[p],1,1,1,h_p
hcys-L[c],0.000369998,0.000365,0.000375,hcys__L_c
his-L[c],7.35E-05,4.58E-05,9.97E-05,his__L_c
his-L[e],7.35E-05,4.58E-05,9.97E-05,his__L_e
his-L[p],7.37E-05,4.58E-05,9.97E-05,his__L_p
histd[c],1.28E-05,1.26E-05,1.30E-05,histd_c
idp[c],2.51E-05,1.76E-05,3.22E-05,idp_c
ile-L[c],0.000151498,0.000149,0.000154,ile__L_c
ile-L[e],0.000151717,0.000149,0.000154,ile__L_e
ile-L[p],0.000153297,0.000149,0.000154,ile__L_p
imp[c],0.000277186,0.000173,0.000426,imp_c
imp[e],0.000304883,0.000173,0.000426,imp_e
imp[p],0.000268803,0.000173,0.000426,imp_p
inost[c],6.03E-06,4.22E-06,7.75E-06,inost_c
inost[e],6.03E-06,4.22E-06,7.75E-06,inost_e
inost[p],6.55E-06,4.22E-06,7.75E-06,inost_p
itp[c],0.000223601,0.000138,0.000303,itp_c
leu-L[c],0.000151498,0.000149,0.000154,leu__L_c
leu-L[e],0.000151718,0.000149,0.000154,leu__L_e
leu-L[p],0.000153298,0.000149,0.000154,leu__L_p
lys-L[c],0.000333939,0.000327,0.000502,lys__L_c
lys-L[e],0.000414931,0.000327,0.000502,lys__L_e
lys-L[p],0.000414896,0.000327,0.000502,lys__L_p
mal-L[c],0.001683837,0.00166,0.0017,mal__L_c
mal-L[e],0.001662371,0.00166,0.0017,mal__L_e
mal-L[p],0.001679997,0.00166,0.0017,mal__L_p
malcoa[c],0.000650692,4.05E-07,0.00309,malcoa_c
met-L[c],0.0001458,0.000131,0.000161,met__L_c
met-L[e],0.000145794,0.000131,0.000161,met__L_e
met-L[p],0.000145753,0.000131,0.000161,met__L_p
nad[c],0.002368195,0.00232,0.0028,nad_c
nadh[c],0.000113807,5.45E-05,0.000127,nadh_c
nadp[c],1.64E-05,1.40E-07,3.11E-05,nadp_c
nadph[c],0.000121765,0.00011,0.000134,nadph_c
orn[c],1.11E-05,6.81E-06,1.51E-05,orn_c
orn[e],1.11E-05,6.81E-06,1.51E-05,orn_e
orn[p],1.51E-05,6.81E-06,1.51E-05,orn_p
pep[c],0.000188983,0.000146,0.000231,pep_c
phe-L[c],1.82E-05,1.77E-05,1.87E-05,phe__L_c
phe-L[e],1.83E-05,1.77E-05,1.87E-05,phe__L_e
phe-L[p],1.86E-05,1.77E-05,1.87E-05,phe__L_p
phpyr[c],0.00010874,5.01E-05,0.000161,phpyr_c
pi[c],0.02,0.016,0.024,pi_c
ppcoa[c],5.63E-06,3.88E-06,7.29E-06,ppcoa_c
pro-L[c],0.000385344,0.000372,0.000399,pro__L_c
pro-L[e],0.000379954,0.000372,0.000399,pro__L_e
pro-L[p],0.000381219,0.000372,0.000399,pro__L_p
prpp[c],0.000325352,0.000136,0.000492,prpp_c
pyr[c],0.00366726,0.003126111,0.004203751,pyr_c
pyr[e],0.003599668,0.003126111,0.004203751,pyr_e
pyr[p],0.003680972,0.003126111,0.004203751,pyr_p
quln[c],3.08E-05,2.41E-06,5.49E-05,quln_c
r5p[c],0.001056,0.0007864,0.001416,r5p_c
ribflv[c],1.91E-05,1.72E-05,2.11E-05,ribflv_c
s7p[c],0.000924003,0.000840347,0.000924149,s7p_c
ser-L[c],0.001136257,0.00106275,0.001202742,ser__L_c
ser-L[e],0.001132835,0.00106275,0.001202742,ser__L_e
ser-L[p],0.001132708,0.00106275,0.001202742,ser__L_p
skm[c],1.84E-05,7.02E-06,2.81E-05,skm_c
skm[e],8.03E-06,7.02E-06,2.81E-05,skm_e
skm[p],1.80E-05,7.02E-06,2.81E-05,skm_p
succ[c],0.000474542,0.000341,0.000949,succ_c
succ[e],0.000661086,0.000341,0.000949,succ_e
succ[p],0.000649764,0.000341,0.000949,succ_p
succoa[c],0.000379223,0.000142,0.000383,succoa_c
thr-L[c],0.001256658,0.001218547,0.00129477,thr__L_c
thr-L[e],0.001256638,0.001218547,0.00129477,thr__L_e
thr-L[p],0.001257148,0.001218547,0.00129477,thr__L_p
trp-L[c],1.21E-05,1.14E-05,1.29E-05,trp__L_c
trp-L[e],1.14E-05,1.14E-05,1.29E-05,trp__L_e
trp-L[p],1.21E-05,1.14E-05,1.29E-05,trp__L_p
tyr-L[c],3.23E-05,1.87E-05,4.47E-05,tyr__L_c
tyr-L[e],2.86E-05,1.87E-05,4.47E-05,tyr__L_e
tyr-L[p],3.22E-05,1.87E-05,4.47E-05,tyr__L_p
uacgam[c],0.009126464,0.00679,0.0126,uacgam_c
uacgam[e],0.006878419,0.00679,0.0126,uacgam_e
uacgam[p],0.009566599,0.00679,0.0126,uacgam_p
udp[c],0.001989339,0.00118,0.00272,udp_c
udpglcur[c],0.001510619,0.00012,0.00267,udpglcur_c
udpglcur[e],0.000438181,0.00012,0.00267,udpglcur_e
udpglcur[p],0.001436154,0.00012,0.00267,udpglcur_p
uri[c],0.00209695,0.00196,0.00224,uri_c
uri[e],0.002055532,0.00196,0.00224,uri_e
uri[p],0.002029445,0.00196,0.00224,uri_p
utp[c],0.008308638,0.00776,0.00886,utp_c
val-L[c],0.004056952,0.00353,0.00458,val__L_c
val-L[e],0.004056952,0.00353,0.00458,val__L_e
val-L[p],0.004058477,0.00353,0.00458,val__L_p
