	growth_rate
0	37.93674364573901
1	37.24073544109643
2	15.788326083014796
3	54.323463535846315
4	50.36318890288527
5	51.27046085775673
6	14.450716580504645
7	35.709813425777774
8	35.70981342577778
9	13.456206986830912
10	49.50128597502005
11	40.311183923816145
12	44.4618190010317
13	13.085863394910836
14	36.32659934255074
15	35.92460617665806
16	14.669542631017078
17	54.63115975093493
18	49.440248719348055
19	51.20706144367396
20	12.903035322395343
21	0.0
22	0.0
23	0.0
24	47.78280183865924
25	49.59361331806955
26	48.21855318113227
27	0.0
28	7.832274007905028
29	7.832274007905013
30	6.942751014505335
31	16.39170771008665
32	10.066475271377712
33	16.389546983284575
34	3.721939318508783
35	45.519857795910475
36	45.29140314300493
37	25.395265983812067
38	57.12172210702523
39	55.915910131571565
40	56.565586601054704
41	23.641066706553953
42	43.1413217415297
43	43.141321741529815
44	22.129108190238366
45	53.20638731664108
46	49.71464260823366
47	53.20012756449966
48	21.48483182210424
49	43.60766805794751
50	43.523092514075785
51	23.25480836807589
52	57.55586664463498
53	55.18743308045296
54	56.770960116651665
55	21.264325119538842
56	0.0
57	0.0
58	0.0
59	53.012623825891644
60	53.00640958076912
61	53.00640958076938
62	0.0
63	2.3087041170402363
64	2.3087041170401585
65	3.856709494611878
66	18.9758683705289
67	13.169383981960163
68	19.798163362104788
69	0.0
70	15.570055747083918
71	15.904065812752735
72	5.391614630252139
73	25.41363337891866
74	17.728464516997402
75	22.936409599846623
76	2.7864636976840016
77	8.409501247331734
78	8.40950124733176
79	5.109456075004242
80	21.12608098930743
81	11.900612704217554
82	20.4297033405174
83	2.398696729579481
84	14.01405175248495
85	14.170343000954544
86	7.04865160108829
87	31.529386294142704
88	16.793712522562686
89	29.829084657364245
90	7.048651601088294
91	14.014051752484932
92	14.1703430009545
93	7.048651601088293
94	31.52938629414281
95	16.793712522562476
96	29.829084657364152
97	7.048651601088314
98	29.369209121085866
99	29.369209121085788
100	14.740513588675764
101	36.11928064084703
102	35.562936661589156
103	38.0608176169424
104	11.98385676832811
105	29.369209121085905
106	29.369209121085856
107	19.863619086274827
108	36.11928064084702
109	35.56293666158901
110	38.06081761694231
111	16.558852266419905
112	29.3692091210859
113	29.369209121085913
114	19.863619086274852
115	36.11928064084715
116	35.56293666158906
117	38.060817616942415
118	16.5588522664199
119	27.592855972123186
120	27.59285597212295
121	17.407251280315858
122	37.22465827908502
123	35.66586437193254
124	39.33604967652758
125	13.758941342871523
126	30.18144065309521
127	30.181440653095
128	20.963621864242143
129	38.418466824904314
130	35.6658643719326
131	39.33604967652768
132	18.78262936221235
133	4.58173389015523
134	4.581733890155234
135	4.873395966514989
136	8.556379423978452
137	4.581868376828584
138	7.441979350610055
139	0.0
140	45.519857795910575
141	45.29140314300493
142	35.19029026865034
143	58.01270947676004
144	55.91591013157149
145	58.03901647008166
146	29.724344146549573
