KEGG,BIGG
C00577,glyald_c
C00577,glyald_e
C00577,glyald_h
C00719,glyb_p
C00719,glyb_c
C00719,glyb_e
C00719,glyb_m
C00116,glyc_p
C00116,glyc_c
C00116,glyc_e
C00116,glyc_m
C00116,glyc_h
C00258,glyc__R_p
C00258,glyc__R_c
C00258,glyc__R_e
C00258,glyc__R_m
C00258,glyc__R_h
C02979,glyc2p_p
C02979,glyc2p_c
C02979,glyc2p_e
C00093,glyc3p_p
C00093,glyc3p_c
C00093,glyc3p_e
C00093,glyc3p_m
C00093,glyc3p_h
C00160,glyclt_c
C00160,glyclt_e
C00160,glyclt_h
C00160,glyclt_m
C00160,glyclt_p
C00160,glyclt_x
C00182,glycogen_c
C00182,glycogen_e
C00182,glycogen_v
C02412,glytrna_c
C02412,glytrna_m
C20375,gmeACP_c
C07838,gmhep1p_c
C07836;C19882,gmhep7p_c;gmhep7p_c
C00144,gmp_c
C00144,gmp_e
C00144,gmp_g
C00144,gmp_m
C00144,gmp_l
C00144,gmp_n
C00144,gmp_p
C01261,gp4g_c
C00341,grdp_x
C00341,grdp_c
C00341,grdp_h
C00387,gsn_p
C00387,gsn_c
C00387,gsn_e
C00387,gsn_m
C00387,gsn_l
C00127,gthox_c
C00127,gthox_e
C00127,gthox_h
C00127,gthox_m
C00127,gthox_p
C00127,gthox_u
C00044,gtp_c
C00044,gtp_e
C00044,gtp_h
C00044,gtp_m
C00044,gtp_n
C00044,gtp_p
C05730,gtspmd_c
C00242,gua_p
C00242,gua_c
C00242,gua_e
C00242,gua_m
C00080,h_c
C00080,h_e
C00080,h_g
C00080,h_f
C00080,h_h
C00080,h_m
C00080,h_l
C00080,h_n
C00080,h_p
C00080,h_s
C00080,h_r
C00080,h_u
C00080,h_v
C00080,h_x
C00282,h2_p
C00282,h2_c
C00282,h2_e
C00282,h2_m
C00282,h2_h
C11811,h2mb4p_h
C11811,h2mb4p_c
C00001;C01328,h2o_c;h2o_c
C00001;C01328,h2o_e;h2o_e
C00001;C01328,h2o_g;h2o_g
C00001;C01328,h2o_f;h2o_f
C00001;C01328,h2o_h;h2o_h
C00001;C01328,h2o_m;h2o_m
C00001;C01328,h2o_l;h2o_l
C00001;C01328,h2o_n;h2o_n
C00001;C01328,h2o_p;h2o_p
C00001;C01328,h2o_s;h2o_s
C00001;C01328,h2o_r;h2o_r
C00001;C01328,h2o_u;h2o_u
C00001;C01328,h2o_v;h2o_v
C00001;C01328,h2o_x;h2o_x
C00027,h2o2_c
C00027,h2o2_e
C00027,h2o2_h
C00027,h2o2_m
C00027,h2o2_l
C00027,h2o2_n
C00027,h2o2_p
C00027,h2o2_x
C00283,h2s_p
C00283,h2s_c
C00283,h2s_e
C00283,h2s_h
C00288;C01353,hco3_c;hco3_c
C00288;C01353,hco3_e;hco3_e
C00288;C01353,hco3_h;hco3_h
C00288;C01353,hco3_m;hco3_m
C00288;C01353,hco3_n;hco3_n
C00288;C01353,hco3_p;hco3_p
C00155,hcys__L_m
C00155,hcys__L_c
C00155,hcys__L_h
C00155,hcys__L_e
C00155,hcys__L_x
C00249,hdca_c
C00249,hdca_e
C00249,hdca_h
C00249,hdca_p
C00249,hdca_s
C00249,hdca_r
C00249,hdca_x
C08362,hdcea_p
C08362,hdcea_c
C08362,hdcea_h
C08362,hdcea_e
C08362,hdcea_x
C05272,hdd2coa_x
C05272,hdd2coa_c
C05272,hdd2coa_m
C15672,hemeO_c
C15672,hemeO_m
C05749,hexACP_h
C05749,hexACP_c
C00703,hg2_p
C00703,hg2_c
C00703,hg2_e
C20373,hgmeACP_c
C00135,his__L_c
C00135,his__L_e
C00135,his__L_h
C00135,his__L_m
C00135,his__L_p
C00135,his__L_v
C01100,hisp_h
C01100,hisp_c
C00860,histd_h
C00860,histd_c
C02988,histrna_c
C02988,histrna_m
C04479,hkndd_c
C12624,hkntd_c
C01024,hmbil_h
C01024,hmbil_c
C00263,hom__L_p
C00263,hom__L_c
C00263,hom__L_e
C00263,hom__L_h
C20377,hpmeACP_c
C15603,hqn_c
C15603,hqn_e
C05271,hx2coa_x
C05271,hx2coa_c
C05271,hx2coa_m
C01585,hxa_p
C01585,hxa_c
C01585,hxa_e
C00262,hxan_p
C00262,hxan_c
C00262,hxan_e
C00262,hxan_l
C00262,hxan_x
C05270,hxcoa_x
C05270,hxcoa_c
C05270,hxcoa_m
C05840,iasp_c
C00885,ichor_c
C00311,icit_c
C00311,icit_e
C00311,icit_h
C00311,icit_m
C00311,icit_p
C00311,icit_x
C00770,idon__L_p
C00770,idon__L_c
C00770,idon__L_e
C00104,idp_m
C00104,idp_c
C00104,idp_e
C00104,idp_n
C00407,ile__L_c
C00407,ile__L_e
C00407,ile__L_h
C00407,ile__L_m
C00407,ile__L_p
C00407,ile__L_v
C03127,iletrna_c
C03127,iletrna_m
C01267,imacp_h
C01267,imacp_c
C00130,imp_p
C00130,imp_c
C00130,imp_e
C00130,imp_m
C00130,imp_h
C00463,indole_p
C00463,indole_c
C00463,indole_e
C00463,indole_h
C00137;C06151;C06152;C19891,inost_p;inost_p;inost_p;inost_p
C00137;C06151;C06152;C19891,inost_c;inost_c;inost_c;inost_c
C00137;C06151;C06152;C19891,inost_e;inost_e;inost_e;inost_e
C00137;C06151;C06152;C19891,inost_h;inost_h;inost_h;inost_h
C00294,ins_p
C00294,ins_c
C00294,ins_e
C00294,ins_m
C00294,ins_l
C00129,ipdp_x
C00129,ipdp_c
C00129,ipdp_r
C00129,ipdp_m
C00129,ipdp_h
C05123,isetac_p
C05123,isetac_c
C05123,isetac_e
C00081,itp_c
C00081,itp_m
C00081,itp_n
C00238,k_p
C00238,k_c
C00238,k_e
C00238,k_g
C01187,kdo_c
C06025,kdo2lipid4_p
C06025,kdo2lipid4_c
C06025,kdo2lipid4_e
C06251,kdo2lipid4L_c
C04478,kdo8p_c
C06024,kdolipid4_c
C00256,lac__D_p
C00256,lac__D_c
C00256,lac__D_e
C00256,lac__D_m
C00186,lac__L_c
C00186,lac__L_e
C00186,lac__L_h
C00186,lac__L_m
C00186,lac__L_p
C00186,lac__L_x
C00937,lald__D_c
C00937,lald__D_m
C00424;C05999,lald__L_c;lald__L_c
C00424;C05999,lald__L_m;lald__L_m
C00243,lcts_c
C00243,lcts_e
C00243,lcts_g
C00243,lcts_h
C00243,lcts_l
C00243,lcts_p
C00123,leu__L_c
C00123,leu__L_e
C00123,leu__L_h
C00123,leu__L_m
C00123,leu__L_p
C00123,leu__L_v
C02047,leutrna_c
C02047,leutrna_m
C03451,lgt__S_c
C03451,lgt__S_m
C06026,lipa_p
C06026,lipa_c
C06026,lipa_e
C04919,lipidA_c
C04932,lipidAds_c
C16238,lipoamp_c
C00725;C16241,lipoate_p;lipoate_p
C00725;C16241,lipoate_c;lipoate_c
C00725;C16241,lipoate_e;lipoate_e
C00047,lys__L_c
C00047,lys__L_e
C00047,lys__L_m
C00047,lys__L_n
C00047,lys__L_p
C00047,lys__L_v
C00047,lys__L_x
C01931,lystrna_c
C01931,lystrna_m
C01508,lyx__L_p
C01508,lyx__L_c
C01508,lyx__L_e
C00497,mal__D_p
C00497,mal__D_c
C00497,mal__D_e
C00149,mal__L_c
C00149,mal__L_e
C00149,mal__L_f
C00149,mal__L_h
C00149,mal__L_m
C00149,mal__L_p
C00149,mal__L_x
C01209,malACP_h
C01209,malACP_c
C01209,malACP_m
C00083,malcoa_x
C00083,malcoa_c
C00083,malcoa_m
C00083,malcoa_h
C00208,malt_p
C00208,malt_c
C00208,malt_e
C00208,malt_l
C02995;C05737,malt6p_c;malt6p_c
C06216,malthp_c
C06216,malthp_e
C01936,malthx_p
C01936,malthx_c
C01936,malthx_e
C06218,maltpt_p
C06218,maltpt_c
C06218,maltpt_e
C01835,malttr_p
C01835,malttr_c
C01835,malttr_e
C01835,malttr_l
C02013;C02052,maltttr_p;maltttr_p
C02013;C02052,maltttr_c;maltttr_c
C02013;C02052,maltttr_e;maltttr_e
C00159,man_c
C00159,man_e
C00159,man_g
C00159,man_h
C00159,man_l
C00159,man_p
C00159,man_r
C00636,man1p_c
C00636,man1p_e
C00275,man6p_p
C00275,man6p_c
C00275,man6p_e
C00275,man6p_h
C16699,man6pglyc_c
C00514,mana_c
C05402,melib_p
C05402,melib_c
C05402,melib_e
C05402,melib_h
C00132,meoh_p
C00132,meoh_c
C00132,meoh_r
C00132,meoh_e
C00132,meoh_l
C00957,mercppyr_h
C00957,mercppyr_c
C00957,mercppyr_m
C00855,met__D_p
C00855,met__D_c
C00855,met__D_e
C00073,met__L_p
C00073,met__L_c
C00073,met__L_e
C00073,met__L_m
C00445,methf_x
C00445,methf_c
C00445,methf_m
C00445,methf_h
C02989;C15998;C15999,metsox_S__L_p;metsox_S__L_p;metsox_S__L_p
C02989;C15998;C15999,metsox_S__L_c;metsox_S__L_c;metsox_S__L_c
C02989;C15998;C15999,metsox_S__L_e;metsox_S__L_e;metsox_S__L_e
C02430,mettrna_c
C02430,mettrna_m
C00305,mg2_p
C00305,mg2_c
C00305,mg2_e
C00305,mg2_u
C00305,mg2_h
C01177,mi1p__D_c
C01177,mi1p__D_n
C04593,micit_c
C04593,micit_m
C00143,mlthf_c
C00143,mlthf_m
C00683;C02557,mmcoa__S_x;mmcoa__S_x
C00683;C02557,mmcoa__S_c;mmcoa__S_c
C00683;C02557,mmcoa__S_m;mmcoa__S_m
C03172,mmet_p
C03172,mmet_c
C03172,mmet_e
C00034;C19610,mn2_p;mn2_p
C00034;C19610,mn2_c;mn2_c
C00034;C19610,mn2_e;mn2_e
C00644,mnl1p_c
C06232,mobd_p
C06232,mobd_c
C06232,mobd_e
C19928,mocogdp_c
C19848,mptamp_c
C00222;C12069,msa_c;msa_c
C00222;C12069,msa_m;msa_m
C11145,mso3_p
C11145,mso3_c
C11145,mso3_e
C00546,mthgxl_x
C00546,mthgxl_c
C00546,mthgxl_e
C05761,myrsACP_h
C05761,myrsACP_c
C05761,myrsACP_m
C00887,n2o_p
C00887,n2o_c
C00887,n2o_e
C01029,n8aspmd_c
C01330,na1_c
C01330,na1_e
C01330,na1_g
C01330,na1_h
C01330,na1_m
C01330,na1_p
C01330,na1_x
C16565,na15dap_c
C00253,nac_p
C00253,nac_c
C00253,nac_e
C00253,nac_m
C00003,nad_c
C00003,nad_e
C00003,nad_f
C00003,nad_h
C00003,nad_m
C00003,nad_n
C00003,nad_s
C00003,nad_r
C00003,nad_x
C00004,nadh_c
C00004,nadh_f
C00004,nadh_h
C00004,nadh_m
C00004,nadh_s
C00004,nadh_r
C00004,nadh_x
C00006,nadp_c
C00006,nadp_e
C00006,nadp_f
C00006,nadp_h
C00006,nadp_m
C00006,nadp_n
C00006,nadp_s
C00006,nadp_r
C00006,nadp_u
C00006,nadp_x
C00005,nadph_c
C00005,nadph_f
C00005,nadph_h
C00005,nadph_m
C00005,nadph_n
C00005,nadph_s
C00005,nadph_r
C00005,nadph_u
C00005,nadph_x
C00153,ncam_m
C00153,ncam_c
C00153,ncam_e
C00291;C19609,ni2_p;ni2_p
C00291;C19609,ni2_c;ni2_c
C00291;C19609,ni2_e;ni2_e
C01185,nicrnt_c
C01185,nicrnt_m
C01185,nicrnt_n
C00455,nmn_c
C00455,nmn_e
C00455,nmn_m
C00455,nmn_n
C00455,nmn_p
C00455,nmn_x
C00533,no_p
C00533,no_c
C00533,no_e
C00533,no_h
C00088,no2_p
C00088,no2_c
C00088,no2_e
C00088,no2_h
C00244,no3_p
C00244,no3_c
C00244,no3_e
C00007,o2_c
C00007,o2_e
C00007,o2_h
C00007,o2_m
C00007,o2_n
C00007,o2_p
C00007,o2_r
C00007,o2_u
C00007,o2_x
C00704,o2s_c
C00704,o2s_e
C00704,o2s_m
C00704,o2s_n
C00704,o2s_p
C00704,o2s_x
C00036;C03981,oaa_c;oaa_c
C00036;C03981,oaa_e;oaa_e
C00036;C03981,oaa_f;oaa_f
C00036;C03981,oaa_h;oaa_h
C00036;C03981,oaa_m;oaa_m
C00036;C03981,oaa_p;oaa_p
C00036;C03981,oaa_x;oaa_x
C05276,oc2coa_x
C05276,oc2coa_c
C05276,oc2coa_m
C05752,ocACP_h
C05752,ocACP_c
C05752,ocACP_m
C01944,occoa_x
C01944,occoa_c
C01944,occoa_m
C01530,ocdca_p
C01530,ocdca_c
C01530,ocdca_h
C01530,ocdca_e
C01530,ocdca_x
C00712,ocdcea_p
C00712,ocdcea_c
C00712,ocdcea_e
C00712,ocdcea_h
C06423,octa_p
C06423,octa_c
C06423,octa_h
C06423,octa_e
C06423,octa_x
C04146,octdp_c
C01203,octeACP_h
C01203,octeACP_c
C01203,octeACP_m
C16218,od2coa_x
C16218,od2coa_c
C16218,od2coa_m
C06054,ohpb_c
C00596,op4en_c
C00077;C01602,orn_p;orn_p
C00077;C01602,orn_c;orn_c
C00077;C01602,orn_e;orn_e
C00077;C01602,orn_m;orn_m
C00077;C01602,orn_h;orn_h
C00295,orot_p
C00295,orot_c
C00295,orot_e
C00295,orot_m
C01103,orot5p_c
C00209,oxa_p
C00209,oxa_c
C00209,oxa_e
C00209,oxa_m
C00209,oxa_x
C02232,oxadpcoa_c
C00313,oxalcoa_c
C01444,oxam_c
C00802,oxur_c
C00548;C07086;C15583,pac_p;pac_p;pac_p
C00548;C07086;C15583,pac_c;pac_c;pac_c
C00548;C07086;C15583,pac_e;pac_e;pac_e
C00601,pacald_p
C00601,pacald_c
C00601,pacald_e
C00601,pacald_m
C01134,pan4p_x
C01134,pan4p_c
C01134,pan4p_m
C00522,pant__R_c
C00522,pant__R_m
C00522,pant__R_n
C00054,pap_c
C00054,pap_e
C00054,pap_g
C00054,pap_h
C00054,pap_m
C00054,pap_x
C00053,paps_h
C00053,paps_c
C00053,paps_m
C00053,paps_g
C00627,pdx5p_c
C00074,pep_c
C00074,pep_e
C00074,pep_f
C00074,pep_h
C00074,pep_m
C00074,pep_p
C00582,phaccoa_c
C00079,phe__L_p
C00079,phe__L_c
C00079,phe__L_e
C00079,phe__L_m
C00079,phe__L_h
C00032,pheme_p
C00032,pheme_c
C00032,pheme_e
C00032,pheme_m
C00032,pheme_h
C03511,phetrna_c
C03511,phetrna_m
C01102,phom_h
C01102,phom_c
C00166;C02763,phpyr_h;phpyr_h
C00166;C02763,phpyr_c;phpyr_c
C00166;C02763,phpyr_m;phpyr_m
C06055,phthr_c
C00009,pi_c
C00009,pi_e
C00009,pi_g
C00009,pi_f
C00009,pi_h
C00009,pi_m
C00009,pi_l
C00009,pi_n
C00009,pi_p
C00009,pi_r
C00009,pi_v
C00009,pi_x
C19845,pimACP_c
C19846,pmeACP_c
C00154,pmtcoa_x
C00154,pmtcoa_c
C00154,pmtcoa_m
C00154,pmtcoa_s
C00154,pmtcoa_h
C00864,pnto__R_p
C00864,pnto__R_c
C00864,pnto__R_e
C00864,pnto__R_m
C20249,poaac_c
C00163,ppa_p
C00163,ppa_c
C00163,ppa_e
C00163,ppa_m
C00163,ppa_h
C00479,ppal_p
C00479,ppal_c
C00479,ppal_e
C02876,ppap_h
C02876,ppap_c
C02876,ppap_m
C00931,ppbng_h
C00931,ppbng_c
C00100,ppcoa_x
C00100,ppcoa_c
C00100,ppcoa_h
C00100,ppcoa_m
C00100,ppcoa_n
C01228,ppgpp_c
C00254,pphn_h
C00254,pphn_c
C00013,ppi_c
C00013,ppi_e
C00013,ppi_h
C00013,ppi_m
C00013,ppi_n
C00013,ppi_r
C00013,ppi_u
C00013,ppi_x
C02191,ppp9_h
C02191,ppp9_c
C02191,ppp9_m
C01079,pppg9_h
C01079,pppg9_c
C01079,pppg9_m
C00536,pppi_c
C00536,pppi_m
C00536,pppi_n
C05629,pppn_p
C05629,pppn_c
C05629,pppn_e
C03090,pram_h
C03090,pram_c
C04302,pran_h
C04302,pran_c
C02741,prbamp_h
C02741,prbamp_c
C02739,prbatp_h
C02739,prbatp_c
C15996,preq0_c
C16675,preq1_c
C04896,prfp_h
C04896,prfp_c
C04916,prlp_h
C04916,prlp_c
C00148,pro__L_c
C00148,pro__L_e
C00148,pro__L_m
C00148,pro__L_l
C00148,pro__L_p
C00148,pro__L_r
C02702,protrna_c
C00119,prpp_h
C00119,prpp_c
C00119,prpp_m
C01005,pser__L_p
C01005,pser__L_c
C01005,pser__L_e
C01005,pser__L_h
C00134,ptrc_p
C00134,ptrc_c
C00134,ptrc_e
C00134,ptrc_m
C00134,ptrc_h
C00647,pyam5p_c
C00647,pyam5p_m
C00534,pydam_p
C00534,pydam_c
C00534,pydam_e
C00250,pydx_p
C00250,pydx_c
C00250,pydx_e
C00018,pydx5p_c
C00018,pydx5p_m
C00314,pydxn_p
C00314,pydxn_c
C00314,pydxn_e
C00022,pyr_c
C00022,pyr_e
C00022,pyr_f
C00022,pyr_h
C00022,pyr_m
C00022,pyr_p
C00022,pyr_x
C17569,q8_c
C17569,q8_m
C00296,quin_p
C00296,quin_c
C00296,quin_e
C03722,quln_c
C03722,quln_m
C01151,r15bp_c
C00620,r1p_h
C00620,r1p_c
C00620,r1p_m
C03736,r5p_p
C03736,r5p_c
C03736,r5p_e
C03736,r5p_m
C03736,r5p_h
C01007,rbflvrd_c
C00310;C00508,rbl__L_c;rbl__L_c
C05775,rdmbzi_c
C03539,rhcys_c
C00121,rib__D_p
C00121,rib__D_c
C00121,rib__D_e
C00255,ribflv_m
C00255,ribflv_c
C00255,ribflv_e
C00255,ribflv_h
C00861,rml_c
C01131,rml1p_c
C00507,rmn_p
C00507,rmn_c
C00507,rmn_e
C00199,ru5p__D_h
C00199,ru5p__D_c
C00199,ru5p__D_r
C01101,ru5p__L_c
C00447,s17bp_h
C00447,s17bp_c
C05382;C20956,s7p_h;s7p_h
C05382;C20956,s7p_c;s7p_c
C00213,sarcs_m
C00213,sarcs_c
C00213,sarcs_e
C00213,sarcs_x
C01096,sbt6p_c
C03160,sbzcoa_c
C05778,scl_h
C05778,scl_c
C06482,sectrna_c
C06482,sectrna_m
C05697,sel_p
C05697,sel_c
C05697,sel_e
C01528,seln_h
C01528,seln_c
C01528,seln_m
C05172,selnp_c
C05172,selnp_m
C00740,ser__D_p
C00740,ser__D_c
C00740,ser__D_e
C00065,ser__L_c
C00065,ser__L_e
C00065,ser__L_h
C00065,ser__L_m
C00065,ser__L_p
C00065,ser__L_x
C05820,seramp_c
C02553,sertrna_c
C06481,sertrna_sec_c
C06481,sertrna_sec_m
C00748,sheme_h
C00748,sheme_c
C00493,skm_p
C00493,skm_c
C00493,skm_e
C00493,skm_h
C03175,skm5p_h
C03175,skm5p_c
C04421,sl26da_c
C04462;C05537,sl2a6o_c;sl2a6o_c
C05684,slnt_p
C05684,slnt_c
C05684,slnt_e
C09306,so2_p
C09306,so2_c
C09306,so2_e
C00094;C11481,so3_p;so3_p
C00094;C11481,so3_c;so3_c
C00094;C11481,so3_e;so3_e
C00094;C11481,so3_m;so3_m
C00059,so4_c
C00059,so4_e
C00059,so4_m
C00059,so4_l
C00059,so4_n
C00059,so4_p
C00059,so4_r
C00315,spmd_p
C00315,spmd_c
C00315,spmd_e
C00315,spmd_m
C00315,spmd_h
C00412,stcoa_x
C00412,stcoa_c
C00412,stcoa_m
C02591;C16688,suc6p_c;suc6p_c
C03296,sucarg_c
C02730,sucbz_c
C00042,succ_c
C00042,succ_e
C00042,succ_h
C00042,succ_m
C00042,succ_p
C00042,succ_r
C00042,succ_x
C00091,succoa_c
C00091,succoa_m
C05931,sucglu_c
C05932,sucgsa_c
C01118,suchms_h
C01118,suchms_c
C03415,sucorn_c
C00232,sucsal_h
C00232,sucsal_c
C00232,sucsal_m
C14179,sulfac_p
C14179,sulfac_c
C14179,sulfac_e
C01097,tag6p__D_c
C03785,tagdp__D_c
C00558,tagur_c
C02107,tartr__D_p
C02107,tartr__D_c
C02107,tartr__D_e
C00898,tartr__L_p
C00898,tartr__L_c
C00898,tartr__L_e
C00245,taur_p
C00245,taur_c
C00245,taur_e
C00245,taur_x
C01755,tcynt_p
C01755,tcynt_c
C01755,tcynt_e
C01755,tcynt_m
C05273,td2coa_x
C05273,td2coa_c
C05273,td2coa_m
C02593,tdcoa_x
C02593,tdcoa_c
C02593,tdcoa_m
C05758,tddec2eACP_h
C05758,tddec2eACP_c
C05754,tdec2eACP_h
C05754,tdec2eACP_c
C03972,thdp_c
C05748,thex2eACP_h
C05748,thex2eACP_c
C00101,thf_m
C00101,thf_c
C00101,thf_e
C00101,thf_l
C00101,thf_h
C00378,thm_p
C00378,thm_c
C00378,thm_e
C00378,thm_m
C01081,thmmp_m
C01081,thmmp_c
C01081,thmmp_e
C00068,thmpp_m
C00068,thmpp_c
C00068,thmpp_e
C00068,thmpp_h
C05650,thptdn_c
C00188,thr__L_p
C00188,thr__L_c
C00188,thr__L_e
C00188,thr__L_m
C00188,thr__L_h
C02992,thrtrna_c
C02992,thrtrna_m
C00178,thym_p
C00178,thym_c
C00178,thym_e
C00214,thymd_p
C00214,thymd_c
C00214,thymd_e
C00214,thymd_m
C00214,thymd_l
C00565,tma_p
C00565,tma_c
C00565,tma_e
C01104,tmao_p
C01104,tmao_c
C01104,tmao_e
C05760,tmrs2eACP_h
C05760,tmrs2eACP_c
C05751,toct2eACP_h
C05751,toct2eACP_c
C05763,tpalm2eACP_h
C05763,tpalm2eACP_c
C00343,trdox_x
C00343,trdox_c
C00343,trdox_h
C00343,trdox_m
C00343,trdox_n
C00342,trdrd_x
C00342,trdrd_c
C00342,trdrd_h
C00342,trdrd_m
C00342,trdrd_n
C01083,tre_p
C01083,tre_c
C01083,tre_e
C01083,tre_v
C00689,tre6p_c
C00689,tre6p_n
C01635,trnaala_c
C01635,trnaala_m
C01636,trnaarg_c
C01636,trnaarg_m
C01637,trnaasn_c
C01637,trnaasn_m
C01638,trnaasp_c
C01638,trnaasp_m
C01639,trnacys_c
C00069;C00863;C01335;C01640;C01702;C02525;C03130,trnagln_c;trnagln_c;trnagln_c;trnagln_c;trnagln_c;trnagln_c;trnagln_c
C01641,trnaglu_h
C01641,trnaglu_c
C01641,trnaglu_m
C01642,trnagly_c
C01642,trnagly_m
C01643,trnahis_c
C01643,trnahis_m
C01644,trnaile_c
C01644,trnaile_m
C01645,trnaleu_c
C01645,trnaleu_m
C01646,trnalys_c
C01646,trnalys_m
C01647,trnamet_c
C01647,trnamet_m
C01648,trnaphe_c
C01648,trnaphe_m
C01649,trnapro_c
C01650,trnaser_c
C01651,trnathr_c
C01651,trnathr_m
C01652,trnatrp_c
C01652,trnatrp_m
C00787,trnatyr_c
C00787,trnatyr_m
C01653,trnaval_h
C01653,trnaval_c
C01653,trnaval_m
C00078,trp__L_p
C00078,trp__L_c
C00078,trp__L_e
C00078,trp__L_m
C00078,trp__L_h
C03512,trptrna_c
C03512,trptrna_m
C00320;C05529,tsul_p;tsul_p
C00320;C05529,tsul_c;tsul_c
C00320;C05529,tsul_e;tsul_e
C00320;C05529,tsul_m;tsul_m
C00320;C05529,tsul_h;tsul_h
C06424,ttdca_p
C06424,ttdca_c
C06424,ttdca_h
C06424,ttdca_e
C06424,ttdca_x
C20679,tungs_p
C20679,tungs_c
C20679,tungs_e
C00082,tyr__L_c
C00082,tyr__L_e
C00082,tyr__L_h
C00082,tyr__L_m
C00082,tyr__L_p
C00082,tyr__L_v
C00082,tyr__L_x
C02839,tyrtrna_c
C02839,tyrtrna_m
C04652,u23ga_c
C04738,u3aga_c
C06022,u3hga_c
C05898,uaagmda_c
C05898,uaagmda_e
C04631,uaccg_c
C00043,uacgam_p
C00043,uacgam_c
C00043,uacgam_e
C00043,uacgam_g
C01170,uacmam_c
C06240,uacmamu_c
C05897,uagmda_c
C01212,uama_c
C00692,uamag_c
C01050,uamr_c
C00348,udcpp_p
C00348,udcpp_c
C00348,udcpp_e
C00015,udp_c
C00015,udp_e
C00015,udp_g
C00015,udp_h
C00015,udp_m
C00015,udp_l
C00015,udp_n
C00015,udp_r
C16154,udpLa4fn_c
C16153,udpLa4n_c
C00029,udpg_c
C00029,udpg_e
C00029,udpg_g
C00029,udpg_h
C00029,udpg_n
C00029,udpg_p
C00029,udpg_r
C00052,udpgal_p
C00052,udpgal_c
C00052,udpgal_e
C00052,udpgal_g
C00052,udpgal_h
C03733,udpgalfur_c
C00167,udpglcur_p
C00167,udpglcur_c
C00167,udpglcur_r
C00167,udpglcur_e
C00167,udpglcur_g
C04877;C20886,ugmd_c;ugmd_c
C04882,ugmda_c
C00105,ump_c
C00105,ump_e
C00105,ump_g
C00105,ump_h
C00105,ump_m
C00105,ump_l
C00105,ump_n
C00105,ump_p
C00105,ump_r
C01289,unaga_c
C20497,unagamu_c
C20498,unagamuf_p
C20498,unagamuf_c
C01051,uppg3_h
C01051,uppg3_c
C00106,ura_p
C00106,ura_c
C00106,ura_e
C20231,uracp_c
C00366,urate_m
C00366,urate_c
C00366,urate_e
C00366,urate_x
C00603;C02766,urdglyc_c;urdglyc_c
C00603;C02766,urdglyc_m;urdglyc_m
C00086,urea_p
C00086,urea_c
C00086,urea_e
C00086,urea_m
C00299;C16745,uri_c;uri_c
C00299;C16745,uri_e;uri_e
C00299;C16745,uri_m;uri_m
C00299;C16745,uri_l;uri_l
C00299;C16745,uri_n;uri_n
C00299;C16745,uri_p;uri_p
C00075,utp_m
C00075,utp_c
C00075,utp_e
C00075,utp_n
C00183,val__L_p
C00183,val__L_c
C00183,val__L_e
C00183,val__L_m
C00183,val__L_h
C02554,valtrna_h
C02554,valtrna_c
C02554,valtrna_m
C00385,xan_p
C00385,xan_c
C00385,xan_e
C00385,xan_x
C01337,xdp_c
C00655,xmp_p
C00655,xmp_c
C00655,xmp_e
C00655,xmp_m
C00700,xtp_c
C01762,xtsn_p
C01762,xtsn_c
C01762,xtsn_e
C00231,xu5p__D_h
C00231,xu5p__D_c
C03291,xu5p__L_c
C00181,xyl__D_p
C00181,xyl__D_c
C00181,xyl__D_e
C00181,xyl__D_l
C00310;C00508,xylu__D_c;xylu__D_c
C00312,xylu__L_p
C00312,xylu__L_c
C00312,xylu__L_e
C00038,zn2_p
C00038,zn2_c
C00038,zn2_e
C02353,23camp_p
C02353,23camp_c
C02353,23camp_e
C02354,23ccmp_p
C02354,23ccmp_c
C02354,23ccmp_e
C06194,23cgmp_p
C06194,23cgmp_c
C06194,23cgmp_e
C02355,23cump_p
C02355,23cump_c
C02355,23cump_e
C04043,34dhpac_p
C04043,34dhpac_c
C04043,34dhpac_e
C01367,3amp_p
C01367,3amp_c
C01367,3amp_e
C01367,3amp_l
C05822,3cmp_p
C05822,3cmp_c
C05822,3cmp_e
C06193,3gmp_p
C06193,3gmp_c
C06193,3gmp_e
C01368,3ump_p
C01368,3ump_c
C01368,3ump_e
C03765,4hoxpacd_p
C03765,4hoxpacd_c
C03765,4hoxpacd_e
C01132,acgal_p
C01132,acgal_c
C01132,acgal_e
C01132,acgal_l
C01132,acgal_g
C18060,acgal1p_p
C18060,acgal1p_c
C18060,acgal1p_e
C02713,acmum_p
C02713,acmum_e
C06186;C12079,arbt_p;arbt_p
C06186;C12079,arbt_e;arbt_e
C01674,chtbs_p
C01674,chtbs_c
C01674,chtbs_e
C00918,cm_p
C00918,cm_e
C03758,dopa_p
C03758,dopa_c
C03758,dopa_e
C01661;C11230,doxrbcn_p;doxrbcn_p
C01661;C11230,doxrbcn_e;doxrbcn_e
C06229,fe3dcit_p
C06229,fe3dcit_e
C06694,fusa_p
C06694,fusa_e
C00962,gal_bD_p
C00962,gal_bD_c
C00962,gal_bD_e
C01697,galt_p
C01697,galt_c
C01697,galt_e
C00329,gam_p
C00329,gam_c
C00329,gam_e
C05385,glcur1p_p
C05385,glcur1p_c
C05385,glcur1p_e
C11544,manglyc_p
C11544,manglyc_e
C07225,mincyc_p
C07225,mincyc_e
C01204,minohp_p
C01204,minohp_c
C01204,minohp_e
C01204,minohp_n
