,KEGG,Exchange Reaction,BIGG ID,Compound class (level 1),Compound class (level 2),Compound class (level 3),Compound class (level 4)
70,C00239,EX_dcmp_e,dcmp_e,Nucleic acids,Nucleotides [Fig],Deoxyribonucleotides,C00239  dCMP
125,C00881,EX_dcyt_e,dcyt_e,Nucleic acids,Nucleosides [Fig],Deoxyribonucleosides,C00881  Deoxycytidine (dC)
158,C02679,EX_ddca_e,ddca_e,Lipids,Fatty acids [Fig],Saturated fatty acids,C02679  Lauric acid (12:0)
95,C00362,EX_dgmp_e,dgmp_e,Nucleic acids,Nucleotides [Fig],Deoxyribonucleotides,C00362  dGMP
89,C00330,EX_dgsn_e,dgsn_e,Nucleic acids,Nucleosides [Fig],Deoxyribonucleosides,C00330  Deoxyguanosine (dG)
60,C00184,EX_dha_e,dha_e,Carbohydrates,Monosaccharides,Ketoses [Fig],C00184  Dihydroxyacetone
177,C06196,EX_dimp_e,dimp_e,,,,
172,C05512,EX_din_e,din_e,,,,
185,C11143,EX_dmso_e,dmso_e,,,,
165,C03758,EX_dopa_e,dopa_e,Peptides,Amines,Biogenic amines [Fig],C03758  Dopamine
166,C03758,EX_dopa_e,dopa_e,Hormones and transmitters,Other hormones,Dopamine,C03758  Dopamine
167,C03758,EX_dopa_e,dopa_e,Hormones and transmitters,Neurotransmitters [Fig],Biogenic amines,C03758  Dopamine
96,C00364,EX_dtmp_e,dtmp_e,Nucleic acids,Nucleotides [Fig],Deoxyribonucleotides,C00364  dTMP
97,C00365,EX_dump_e,dump_e,Nucleic acids,Nucleotides [Fig],Deoxyribonucleotides,C00365  dUMP
109,C00526,EX_duri_e,duri_e,Nucleic acids,Nucleosides [Fig],Deoxyribonucleosides,C00526  Deoxyuridine (dU)
63,C00189,EX_etha_e,etha_e,Peptides,Amines,Biogenic amines [Fig],C00189  Ethanolamine
103,C00469,EX_etoh_e,etoh_e,,,,
29,C00085,EX_f6p_e,f6p_e,,,,
24,C00067,EX_fald_e,fald_e,,,,
179,C06229,EX_fe3dcit_e,fe3dcit_e,,,,
20,C00058,EX_for_e,for_e,Organic acids,Carboxylic acids [Fig],Monocarboxylic acids,C00058  Formate; Methanoate
