Exchange Reaction,Metabolite,Source,KEGG,BIGG ID,Compound class (level 1),Compound class (level 2),Compound class (level 3),Compound class (level 4),smap
EX_3cmp_e,3'-cmp,Nitrogen,C05822,3cmp_e,,,,,1
EX_dump_e,DUMP,Nitrogen,C00365,dump_e,Nucleic acids,Nucleotides [Fig],Deoxyribonucleotides,C00365  dUMP,1
EX_orn_e,Ornithine,Nitrogen,C00077,orn_e,Peptides,Amino acids,Other amino acids [Fig],C00077  L-Ornithine,1
EX_gly_e,Glycine,Nitrogen,C00037,gly_e,Peptides,Amino acids,Common amino acids [Fig],C00037  Glycine (Gly),1
EX_glu__L_e,L-Glutamate,Nitrogen,C00025,glu__L_e,Peptides,Amino acids,Common amino acids [Fig],C00025  Glutamic acid (Glu),1
EX_cgly_e,Cys-Gly,Nitrogen,C01419,cgly_e,,,,,1
EX_gln__L_e,L-Glutamine,Nitrogen,C00064,gln__L_e,Peptides,Amino acids,Common amino acids [Fig],C00064  Glutamine (Gln),1
EX_chtbs_e,Chitobiose,Nitrogen,C01674,chtbs_e,,,,,1
EX_cmp_e,CMP,Nitrogen,C00055,cmp_e,Nucleic acids,Nucleotides [Fig],Ribonucleotides,C00055  CMP,1
EX_csn_e,Cytosine,Nitrogen,C00380,csn_e,Nucleic acids,Bases [Fig],Pyrimidines,C00380  Cytosine (Cyt),1
EX_gam_e,D-Glucosamine,Nitrogen,C00329,gam_e,Carbohydrates,Monosaccharides,Amino sugars [Fig],C00329  D-Glucosamine,1
EX_cynt_e,Cyanate,Nitrogen,C01417,cynt_e,,,,,1
EX_gam6p_e,D-Glucosamine 6-phosphate,Nitrogen,C00352,gam6p_e,,,,,1
EX_cys__D_e,D-Cysteine,Nitrogen,C00793,cys__D_e,Peptides,Amino acids,Other amino acids [Fig],C00793  D-Cysteine,1
EX_cys__L_e,L-Cysteine,Nitrogen,C00097,cys__L_e,Peptides,Amino acids,Common amino acids [Fig],C00097  Cysteine (Cys),1
EX_orot_e,Orotate,Nitrogen,C00295,orot_e,,,,,1
EX_cytd_e,Cytidine,Nitrogen,C00475,cytd_e,Nucleic acids,Nucleosides [Fig],Ribonucleosides,C00475  Cytidine (C),1
EX_damp_e,DAMP,Nitrogen,C00360,damp_e,Nucleic acids,Nucleotides [Fig],Deoxyribonucleotides,C00360  dAMP,1
EX_g3ps_e,Glycerophosphoserine,Nitrogen,,g3ps_e,,,,,1
EX_dcmp_e,DCMP,Nitrogen,C00239,dcmp_e,Nucleic acids,Nucleotides [Fig],Deoxyribonucleotides,C00239  dCMP,1
EX_g3pe_e,Sn-Glycero-3-phosphoethanolamine,Nitrogen,C01233,g3pe_e,,,,,1
EX_dcyt_e,Deoxycytidine,Nitrogen,C00881,dcyt_e,Nucleic acids,Nucleosides [Fig],Deoxyribonucleosides,C00881  Deoxycytidine (dC),1
EX_dgmp_e,DGMP,Nitrogen,C00362,dgmp_e,Nucleic acids,Nucleotides [Fig],Deoxyribonucleotides,C00362  dGMP,1
EX_dgsn_e,Deoxyguanosine,Nitrogen,C00330,dgsn_e,Nucleic acids,Nucleosides [Fig],Deoxyribonucleosides,C00330  Deoxyguanosine (dG),1
EX_dimp_e,DIMP,Nitrogen,C06196,dimp_e,,,,,1
EX_din_e,Deoxyinosine,Nitrogen,C05512,din_e,,,,,1
EX_etha_e,Ethanolamine,Nitrogen,C00189,etha_e,Peptides,Amines,Biogenic amines [Fig],C00189  Ethanolamine,1
EX_dopa_e,Dopamine,Nitrogen,C03758,dopa_e,Peptides,Amines,Biogenic amines [Fig],C03758  Dopamine,1
EX_duri_e,Deoxyuridine,Nitrogen,C00526,duri_e,Nucleic acids,Nucleosides [Fig],Deoxyribonucleosides,C00526  Deoxyuridine (dU),1
EX_dad_2_e,Deoxyadenosine,Nitrogen,C00559,dad_2_e,Nucleic acids,Nucleosides [Fig],Deoxyribonucleosides,C00559  Deoxyadenosine (dA),1
EX_asn__L_e,L-Asparagine,Nitrogen,C00152,asn__L_e,Peptides,Amino acids,Common amino acids [Fig],C00152  Asparagine (Asn),1
EX_asp__L_e,L-Aspartate,Nitrogen,C00049,asp__L_e,Peptides,Amino acids,Common amino acids [Fig],C00049  Aspartic acid (Asp),1
EX_arg__L_e,L-Arginine,Nitrogen,C00062,arg__L_e,Peptides,Amino acids,Common amino acids [Fig],C00062  Arginine (Arg),1
EX_acgam_e,N-Acetyl-D-glucosamine,Nitrogen,C00140,acgam_e,Carbohydrates,Monosaccharides,Amino sugars [Fig],C00140  N-Acetyl-D-glucosamine,1
EX_acmana_e,N-Acetyl-D-mannosamine,Nitrogen,C00645,acmana_e,Carbohydrates,Monosaccharides,Amino sugars [Fig],C00645  N-Acetyl-D-mannosamine,1
EX_no_e,Nitric oxide,Nitrogen,C00533,no_e,,,,,1
EX_no3_e,Nitrate,Nitrogen,C00244,no3_e,,,,,1
EX_no2_e,Nitrite,Nitrogen,C00088,no2_e,,,,,1
EX_nh4_e,Ammonia,Nitrogen,C00014,nh4_e,,,,,1
EX_acmum_e,N-Acetylmuramate,Nitrogen,C02713,acmum_e,Carbohydrates,Monosaccharides,Amino sugars [Fig],C02713  N-Acetylmuramic acid,1
EX_acnam_e,N-Acetylneuraminate,Nitrogen,C00270,acnam_e,Carbohydrates,Monosaccharides,Amino sugars [Fig],C00270  N-Acetylneuraminic acid,1
EX_ade_e,Adenine,Nitrogen,C00147,ade_e,Nucleic acids,Bases [Fig],Purines,C00147  Adenine (Ade),1
EX_gmp_e,GMP,Nitrogen,C00144,gmp_e,Nucleic acids,Nucleotides [Fig],Ribonucleotides,C00144  GMP,1
EX_agm_e,Agmatine,Nitrogen,C00179,agm_e,,,,,1
EX_ala__D_e,D-Alanine,Nitrogen,C00133,ala__D_e,Peptides,Amino acids,Other amino acids [Fig],C00133  D-Alanine,1
EX_adn_e,Adenosine,Nitrogen,C00212,adn_e,Nucleic acids,Nucleosides [Fig],Ribonucleosides,C00212  Adenosine (A),1
EX_alaala_e,D-Alanyl-D-alanine,Nitrogen,C00993,alaala_e,Peptides,Peptides,Dipeptides [Fig],C00993  D-Alanyl-D-alanine,1
EX_ins_e,Inosine,Nitrogen,C00294,ins_e,,,,,1
EX_imp_e,IMP,Nitrogen,C00130,imp_e,,,,,1
EX_alltn_e,Allantoin,Nitrogen,C01551,alltn_e,,,,,1
EX_hxan_e,Hypoxanthine,Nitrogen,C00262,hxan_e,,,,,1
EX_amp_e,AMP,Nitrogen,C00020,amp_e,Nucleic acids,Nucleotides [Fig],Ribonucleotides,C00020  AMP,1
EX_anhgm_e,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid,Nitrogen,,anhgm_e,,,,,1
EX_ala__L_e,L-Alanine,Nitrogen,C00041,ala__L_e,Peptides,Amino acids,Common amino acids [Fig],C00041  Alanine (Ala),1
EX_gua_e,Guanine,Nitrogen,C00242,gua_e,Nucleic acids,Bases [Fig],Purines,C00242  Guanine (Gua),1
EX_gsn_e,Guanosine,Nitrogen,C00387,gsn_e,Nucleic acids,Nucleosides [Fig],Ribonucleosides,C00387  Guanosine (G),1
EX_gthrd_e,Reduced glutathione,Nitrogen,C00051,gthrd_e,Vitamins and cofactors,Cofactors,Coenzymes [Fig],C00051  Glutathione,1
EX_tmao_e,Trimethylamine N-oxide,Electron,C01104,tmao_e,,,,,2
EX_o2_e,O2,Electron,C00007,o2_e,,,,,2
EX_no2_e,Nitrite,Electron,C00088,no2_e,,,,,2
EX_no3_e,Nitrate,Electron,C00244,no3_e,,,,,2
EX_fum_e,Fumarate,Electron,C00122,fum_e,,,,,2
EX_dmso_e,Dimethyl sulfoxide,Electron,C11143,dmso_e,,,,,2
,None,Electron,,,,,,,2
