,met,met_id,KEGG
130,EX_maltttr_e,maltttr_e,C02013;C02052;G00459
131,EX_man_e,man_e,C00159
132,EX_man6p_e,man6p_e,C00275
133,EX_manglyc_e,manglyc_e,C11544
134,EX_melib_e,melib_e,C05402;G01275
135,EX_mnl_e,mnl_e,C00392
136,EX_ocdca_e,ocdca_e,C01530
137,EX_ocdcea_e,ocdcea_e,C00712
138,EX_octa_e,octa_e,C06423
139,EX_orn_e,orn_e,C00077;C01602
140,EX_pacald_e,pacald_e,C00601
141,EX_peamn_e,peamn_e,C05332
142,EX_ppa_e,ppa_e,C03401;C06393;C00163
143,EX_ppal_e,ppal_e,C00479
144,EX_pppn_e,pppn_e,C11457;C05629
145,EX_pro__L_e,pro__L_e,C00148
146,EX_progly_e,progly_e,
147,EX_psclys_e,psclys_e,
148,EX_pser__L_e,pser__L_e,C01005
149,EX_ptrc_e,ptrc_e,C00134
150,EX_pyr_e,pyr_e,C00022
151,EX_r5p_e,r5p_e,C03736
152,EX_rib__D_e,rib__D_e,C00121
153,EX_rmn_e,rmn_e,C00507
154,EX_sbt__D_e,sbt__D_e,C00794
155,EX_ser__D_e,ser__D_e,C00740;C02532
156,EX_ser__L_e,ser__L_e,C01005;C00065
157,EX_succ_e,succ_e,C00042
158,EX_sucr_e,sucr_e,C00089;G00370
159,EX_tartr__D_e,tartr__D_e,C02107
160,EX_tartr__L_e,tartr__L_e,C00898
161,EX_thr__L_e,thr__L_e,C00188
162,EX_thrp_e,thrp_e,C12147
163,EX_thymd_e,thymd_e,C00214
164,EX_tre_e,tre_e,C01083;G00293
165,EX_trp__L_e,trp__L_e,C00078
166,EX_ttdca_e,ttdca_e,C06424
167,EX_ttdcea_e,ttdcea_e,
168,EX_uacgam_e,uacgam_e,C00043;G10610
169,EX_udpacgal_e,udpacgal_e,C00203;G10611
170,EX_udpg_e,udpg_e,C00029;G10608
171,EX_udpgal_e,udpgal_e,C00052;G10609
172,EX_udpglcur_e,udpglcur_e,C00167;G10612
173,EX_ump_e,ump_e,C00365;C00105;C02355;C01368
174,EX_uri_e,uri_e,C00526;C00299;C16745
175,EX_xan_e,xan_e,C00262;C00385
176,EX_xmp_e,xmp_e,C00655
177,EX_xtsn_e,xtsn_e,C01762
178,EX_xyl__D_e,xyl__D_e,C00181
179,EX_xylu__L_e,xylu__L_e,C00312
180,EX_csn_e,csn_e,C00380
181,EX_cynt_e,cynt_e,C01417;C01755
182,EX_dopa_e,dopa_e,C03758
183,EX_nh4_e,nh4_e,
184,EX_no2_e,no2_e,C00088
185,EX_no3_e,no3_e,C00244
186,EX_no_e,no_e,C00533
187,EX_orot_e,orot_e,C00295
188,EX_tym_e,tym_e,C00483
189,EX_ura_e,ura_e,C00106;C07649
190,EX_tmao_e,tmao_e,C01104
191,EX_dmso_e,dmso_e,C11143
192,EX_o2_e,o2_e,C00011;C00027;C00088;C00007;C09306
