,NAD/NADP,NAD only
DSERDHr_reverse_c44ee,0.0,0.0
LSERDHr,0.0,0.0
LSERDHr_reverse_7bbae,0.0,0.0
AOBUTDs,0.0,0.0
AOBUTDs_reverse_2ac3d,0.0,0.0
ATHRDHr,0.0,0.0
ATHRDHr_reverse_f7ea2,0.0,0.0
GLYAT,0.443143371384877,0.3832755388659042
GLYAT_reverse_9e240,0.0,0.0
THRD,0.0,0.0
THRD_reverse_83253,0.443143371384877,0.3832755388659042
IGPS,0.0462859787127983,0.04003283040800767
IGPS_reverse_feb80,0.0,0.0
PRAIi,0.0462859787127983,0.04003283040800767
PRAIi_reverse_e568f,0.0,0.0
DDPA,0.3116715491686062,0.269565311523117
DDPA_reverse_575e8,0.0,0.0
DHQS,0.3116715491686062,0.269565311523117
DHQS_reverse_3d16b,0.0,0.0
2AGPA120tipp,0.0,0.0
2AGPA120tipp_reverse_16d01,0.0,0.0
LPLIPAL2A120,-0.0,-0.0
LPLIPAL2A120_reverse_844c0,0.0,0.0
DDGLK,0.0,0.0
DDGLK_reverse_9d6e1,0.0,0.0
EDA,0.0,8.287903729871891
EDA_reverse_81f1b,0.0,0.0
EDD,0.0,8.287903729871891
EDD_reverse_007a2,0.0,0.0
ALTRH,0.0,0.0
ALTRH_reverse_fca7e,0.0,0.0
DDGLCNt2rpp,0.0,0.0
DDGLCNt2rpp_reverse_1bf30,0.0,0.0
MNNH,0.0,0.0
MNNH_reverse_93660,0.0,0.0
DDGALK,0.0,0.0
DDGALK_reverse_ee6c3,0.0,0.0
GALCTND,0.0,0.0
GALCTND_reverse_72513,0.0,0.0
DDPGALA,0.0,0.0
DDPGALA_reverse_4e5af,0.0,0.0
2DGULRGx,0.0,0.0
2DGULRGx_reverse_a7f46,0.0,0.0
2DGULRGy,0.0,
2DGULRGy_reverse_cbff4,0.0,
2DGULRx,0.0,0.0
2DGULRx_reverse_d1a03,0.0,0.0
2DGULRy,0.0,
2DGULRy_reverse_5d02d,0.0,
DPR,0.00048268681860083433,0.0004174767410468578
DPR_reverse_691d8,0.0,0.0
MOHMT,0.00048268681860083433,0.0004174767410468578
MOHMT_reverse_83ce0,0.0,0.0
DMSOR2,0.0,0.0
DMSOR2_reverse_001f6,0.0,0.0
DMSOR2pp,0.0,0.0
DMSOR2pp_reverse_b876b,0.0,0.0
FRD3,0.0,0.5008140859069954
FRD3_reverse_78134,0.0,0.0
G3PD7,0.0,0.0
G3PD7_reverse_74364,0.0,0.0
GLYCTO4,0.0,0.0
GLYCTO4_reverse_9c086,0.0,0.0
HYD3pp,0.0,0.0
HYD3pp_reverse_0fbba,0.0,0.0
NADH18pp,0.0,0.5008140859069954
NADH18pp_reverse_8cf33,0.0,0.0
NADH9,0.0,0.0
NADH9_reverse_91511,0.0,0.0
NADPHQR4,0.0,
NADPHQR4_reverse_ebd03,0.0,
TMAOR2,0.0,0.0
TMAOR2_reverse_ad798,0.0,0.0
TMAOR2pp,0.0,0.0
TMAOR2pp_reverse_d7195,0.0,0.0
AMMQLT8,0.00018687354261784445,0.00016162727995411722
AMMQLT8_reverse_6da73,0.0,0.0
DHNAOT4,0.0003737470852356889,0.00032325455990823445
DHNAOT4_reverse_16f9d,0.0,0.0
DURIPP,0.0,0.0
DURIPP_reverse_e8f8a,0.0,0.0
PPM2,0.0,0.0
PPM2_reverse_a5e20,0.0,0.0
PUNP2,0.0,0.0
PUNP2_reverse_af3de,0.0,0.0
PUNP4,0.0,0.0
PUNP4_reverse_e2a37,0.0,0.0
PUNP6,0.0,0.0
PUNP6_reverse_00238,0.0,0.0
TMDPP,0.0,0.0
TMDPP_reverse_1aa90,0.0,0.0
DRPA,0.0,0.0
DRPA_reverse_66bfb,0.0,0.0
BTS5,1.6759958979178874e-06,1.449572017525715e-06
BTS5_reverse_459c1,0.0,0.0
I2FE2SR,1.6759958979178874e-06,1.449572017525715e-06
I2FE2SR_reverse_25e47,0.0,0.0
S2FE2SR,0.0,0.0
S2FE2SR_reverse_7a140,0.0,0.0
I2FE2ST,2.0111950775014652e-05,1.739486421030858e-05
I2FE2ST_reverse_7fd6b,0.0,0.0
LIPOS,2.5139938468768315e-06,2.1743580262885726e-06
LIPOS_reverse_cefb0,0.0,0.0
S2FE2ST,0.0,0.0
S2FE2ST_reverse_557c4,0.0,0.0
GLCRAL,0.0,0.0
GLCRAL_reverse_e887c,0.0,0.0
GLXCL,0.00037374708523569053,0.0
GLXCL_reverse_ea654,0.0,0.0
HPYRI,0.0,0.0
HPYRI_reverse_5f20f,0.0,0.0
TRSARr,0.00037374708523569053,0.0
TRSARr_reverse_ac605,0.0,0.0
2AGPA161tipp,0.0,0.0
2AGPA161tipp_reverse_fa4fb,0.0,0.0
LPLIPAL2A161,-0.0,-0.0
LPLIPAL2A161_reverse_37df8,0.0,0.0
2AGPA160tipp,0.0,0.0
2AGPA160tipp_reverse_dc28a,0.0,0.0
LPLIPAL2A160,-0.0,-0.0
LPLIPAL2A160_reverse_b2af0,0.0,0.0
IPPMIa,0.0,0.0
IPPMIa_reverse_0594d,0.3668570660993485,0.31729536934418623
IPPMIb,0.0,0.0
IPPMIb_reverse_e37a1,0.3668570660993485,0.31729536934418623
2MAHMP,0.0,0.0
2MAHMP_reverse_e4fd2,0.0,0.0
PMPK,0.00018687354261784445,0.00016162727995411722
PMPK_reverse_48b12,0.0,0.0
TMPPP,0.00018687354261784445,0.00016162727995411722
TMPPP_reverse_f275c,0.0,0.0
MCITD,0.0,0.0
MCITD_reverse_431b1,0.0,0.0
MICITDr,0.0,0.0
MICITDr_reverse_9d582,0.0,0.0
MCITS,0.0,0.0
MCITS_reverse_21c9c,0.0,0.0
DXPRIi,0.005552574409801961,0.004802432094062694
DXPRIi_reverse_85956,0.0,0.0
MEPCT,0.005552574409801961,0.004802432094062694
MEPCT_reverse_de97a,0.0,0.0
MECDPDH5,0.005552574409801961,0.004802432094062694
MECDPDH5_reverse_f6cae,0.0,0.0
MECDPS,0.005552574409801961,0.004802432094062694
MECDPS_reverse_8baa5,0.0,0.0
OBTFL,0.0,0.0
OBTFL_reverse_ab4a2,0.0,0.0
THRD_L,0.23657184897880357,0.20461143898980724
THRD_L_reverse_4c55d,0.0,0.0
2AGPA181tipp,0.0,0.0
2AGPA181tipp_reverse_3605a,0.0,0.0
LPLIPAL2A181,-0.0,-0.0
LPLIPAL2A181_reverse_8b966,0.0,0.0
2AGPA180tipp,0.0,0.0
2AGPA180tipp_reverse_b48ac,0.0,0.0
LPLIPAL2A180,-0.0,-0.0
LPLIPAL2A180_reverse_dba15,0.0,0.0
OHPHM,0.00018687354261784445,0.00016162727995411722
OHPHM_reverse_b08b4,0.0,0.0
OPHHX,0.00018687354261784445,0.00016162727995411722
OPHHX_reverse_2aeb1,0.0,0.0
OPHHX3,0.0,0.0
OPHHX3_reverse_63f10,0.0,0.0
OMBZLM,0.00018687354261784445,0.00016162727995411722
OMBZLM_reverse_a3f14,0.0,0.0
OMPHHX,0.00018687354261784445,0.00016162727995411722
OMPHHX_reverse_c6683,0.0,0.0
OMPHHX3,0.0,0.0
OMPHHX3_reverse_24123,0.0,0.0
DMQMT,0.00018687354261784445,0.00016162727995411722
DMQMT_reverse_2490b,0.0,0.0
OMMBLHX,0.00018687354261784445,0.00016162727995411722
OMMBLHX_reverse_94dfd,0.0,0.0
OMMBLHX3,0.0,0.0
OMMBLHX3_reverse_afc77,0.0,0.0
OPHBDC,0.00018687354261784445,0.00016162727995411722
OPHBDC_reverse_da435,0.0,0.0
OXCOAHDH,0.0,0.0
OXCOAHDH_reverse_82fbe,0.0,0.0
REPHACCOAI,0.0,0.0
REPHACCOAI_reverse_4d4b5,0.0,0.0
CDPMEK,0.005552574409801961,0.004802432094062694
CDPMEK_reverse_01872,0.0,0.0
ENO,8.832940006946371,0.0
ENO_reverse_40eea,0.0,1.3821564093136587
GLYCK2,0.0,0.0
GLYCK2_reverse_31342,0.0,0.0
PGM,0.0,1.3821564093136587
PGM_reverse_fc9af,8.832940006946371,0.0
PGLYCP,-0.0,-0.0
PGLYCP_reverse_9063f,0.0,0.0
SEPHCHCS,0.0003737470852356889,0.00032325455990823445
SEPHCHCS_reverse_cb185,0.0,0.0
SHCHCS3,0.0003737470852356889,0.00032325455990823445
SHCHCS3_reverse_fb361,0.0,0.0
SUCBZS,0.0003737470852356889,0.00032325455990823445
SUCBZS_reverse_cdbc9,0.0,0.0
2AGPA141tipp,0.0,0.0
2AGPA141tipp_reverse_f9714,0.0,0.0
LPLIPAL2A141,0.0,0.0
LPLIPAL2A141_reverse_12ad1,0.0,0.0
2AGPA140tipp,0.0,0.0
2AGPA140tipp_reverse_392f6,0.0,0.0
LPLIPAL2A140,-0.0,-0.0
LPLIPAL2A140_reverse_6e1ff,0.0,0.0
TPRDCOAS,0.0,0.0
TPRDCOAS_reverse_56965,0.0,0.0
PPND,0.1124727327174736,0.09727787895211568
PPND_reverse_5463c,0.0,0.0
TYRTA,0.0,0.0
TYRTA_reverse_e9311,0.1124727327174736,0.09727787895211568
GUACYC,0.0,0.0
GUACYC_reverse_c8366,0.0,0.0
PDE4,0.0,0.0
PDE4_reverse_5c3ba,0.0,0.0
3AMACHYD,0.0,0.0
3AMACHYD_reverse_1adff,0.0,0.0
POAACR,0.0,0.0
POAACR_reverse_7d724,0.0,0.0
IPMD,0.3668570660993485,0.31729536934418623
IPMD_reverse_d7a5e,0.0,0.0
IPPS,0.3668570660993485,0.31729536934418623
IPPS_reverse_d94c0,0.0,0.0
OMCDC,0.3668570660993485,0.31729536934418623
OMCDC_reverse_74477,0.0,0.0
3KGK,-0.0,-0.0
3KGK_reverse_d559b,0.0,0.0
ASCBPL,0.0,0.0
ASCBPL_reverse_f9eb9,0.0,0.0
KG6PDC,0.0,0.0
KG6PDC_reverse_9de4b,0.0,0.0
DHQTi,0.3116715491686062,0.269565311523117
DHQTi_reverse_c4498,0.0,0.0
QUINDH,0.0,0.0
QUINDH_reverse_3ca4c,0.0,0.0
SHK3Dr,0.3116715491686062,0.269565311523117
SHK3Dr_reverse_d5c8f,0.0,0.0
FESD1s,0.003112324382433517,0.0026918552365452525
FESD1s_reverse_ea904,0.0,0.0
FESD2s,0.0,0.0
FESD2s_reverse_3b4bc,0.0,0.0
FESR,0.006224648764867034,0.005383710473090505
FESR_reverse_9387b,0.0,0.0
3HAD40,0.0,0.0
3HAD40_reverse_bc17f,0.0,0.0
3OAR40,0.0,0.0
3OAR40_reverse_e075e,0.0,0.0
HADPCOADH3,0.0,0.0
HADPCOADH3_reverse_76ce0,0.0,0.0
ECOAH1,0.2624483876447068,0.22699210615439552
ECOAH1_reverse_6e99c,0.0,0.0
HACD1,0.2624483876447068,0.22699210615439552
HACD1_reverse_204fb,0.0,0.0
3HAD121,0.0,0.0
3HAD121_reverse_7ae0d,0.0,0.0
3OAR121,0.0,0.0
3OAR121_reverse_82b84,0.0,0.0
3HCINNMH,0.0,0.0
3HCINNMH_reverse_e3e52,0.0,0.0
HCINNMt2rpp,0.0,0.0
HCINNMt2rpp_reverse_9b834,0.0,0.0
3HAD141,0.0,0.0
3HAD141_reverse_5738f,0.0,0.0
3OAR141,0.0,0.0
3OAR141_reverse_755ec,0.0,0.0
3HAD161,0.07906343048837843,0.06838211035475808
3HAD161_reverse_384de,0.0,0.0
3OAR161,0.07906343048837843,0.06838211035475808
3OAR161_reverse_fc9b4,0.0,0.0
3HAD181,0.0,0.0
3HAD181_reverse_63f21,0.0,0.0
3OAR181,0.0,0.0
3OAR181_reverse_f8559,0.0,0.0
ECOAH4,0.2624458736508599,0.22698993179636925
ECOAH4_reverse_b3830,0.0,0.0
HACD4,0.2624458736508599,0.22698993179636925
HACD4_reverse_f1c33,0.0,0.0
ECOAH5,0.2624458736508599,0.22698993179636925
ECOAH5_reverse_0cdd7,0.0,0.0
HACD5,0.2624458736508599,0.22698993179636925
HACD5_reverse_bd367,0.0,0.0
3HAD120,0.0,0.0
3HAD120_reverse_82f09,0.0,0.0
3OAR120,0.0,0.0
3OAR120_reverse_5a2b4,0.0,0.0
3HAD100,0.0,0.0
3HAD100_reverse_ca00f,0.0,0.0
3OAR100,0.0,0.0
3OAR100_reverse_d47e7,0.0,0.0
ECOAH2,0.2624483876447068,0.22699210615439552
ECOAH2_reverse_fa31c,0.0,0.0
HACD2,0.2624483876447068,0.22699210615439552
HACD2_reverse_c9c37,0.0,0.0
ECOAH7,0.1423993154706954,0.12316143689705485
ECOAH7_reverse_b3898,0.0,0.0
HACD7,0.1423993154706954,0.12316143689705485
HACD7_reverse_6a28d,0.0,0.0
3HAD60,0.0,0.0
3HAD60_reverse_d7fb5,0.0,0.0
3OAR60,0.0,0.0
3OAR60_reverse_40a5c,0.0,0.0
3HAD140,0.0,0.0
3HAD140_reverse_13958,0.0,0.0
3OAR140,0.0273220851278574,0.023630923029704206
3OAR140_reverse_4eb2a,0.0,0.0
U23GAAT,0.0136610425639287,0.011815461514852103
U23GAAT_reverse_0353e,0.0,0.0
UAGAAT,0.0136610425639287,0.011815461514852103
UAGAAT_reverse_24f8b,0.0,0.0
ECOAH3,0.2624483876447068,0.22699210615439552
ECOAH3_reverse_fede1,0.0,0.0
HACD3,0.2624483876447068,0.22699210615439552
HACD3_reverse_9961c,0.0,0.0
3HAD80,0.0,0.0
3HAD80_reverse_29891,0.0,0.0
3OAR80,0.0,0.0
3OAR80_reverse_fe338,0.0,0.0
3HAD180,0.0,0.0
3HAD180_reverse_c801d,0.0,0.0
3OAR180,0.0,0.0
3OAR180_reverse_e234c,0.0,0.0
ECOAH8,0.0407484882660776,0.0352434444621027
ECOAH8_reverse_19c39,0.0,0.0
HACD8,0.0407484882660776,0.0352434444621027
HACD8_reverse_f3f2b,0.0,0.0
3HAD160,0.0,0.0
3HAD160_reverse_c0da0,0.0,0.0
3OAR160,0.0,0.0
3OAR160_reverse_15066,0.0,0.0
3HPPtpp,0.0,0.0
3HPPtpp_reverse_f463c,0.0,0.0
MSAR,0.0,0.0
