,Metabolite,Exchange Reaction,Source
116,Hypoxanthine,EX_hxan_e,Carbon
117,L-Idonate,EX_idon__L_e,Carbon
118,IMP,EX_imp_e,Carbon
119,Inosine,EX_ins_e,Carbon
120,D-lactate,EX_lac__D_e,Carbon
121,L-Lactate,EX_lac__L_e,Carbon
122,Lactose,EX_lcts_e,Carbon
123,L-Lyxose,EX_lyx__L_e,Carbon
124,D-Malate,EX_mal__D_e,Carbon
125,L-Malate,EX_mal__L_e,Carbon
126,Maltose,EX_malt_e,Carbon
127,Maltohexaose,EX_malthx_e,Carbon
128,Maltopentaose,EX_maltpt_e,Carbon
129,Maltotriose,EX_malttr_e,Carbon
130,Maltotetraose,EX_maltttr_e,Carbon
131,D-Mannose,EX_man_e,Carbon
132,D-Mannose 6-phosphate,EX_man6p_e,Carbon
133,2(alpha-D-Mannosyl)-D-glycerate,EX_manglyc_e,Carbon
134,Melibiose,EX_melib_e,Carbon
135,D-Mannitol,EX_mnl_e,Carbon
136,Octadecanoate (n-C18:0),EX_ocdca_e,Carbon
137,Octadecenoate (n-C18:1),EX_ocdcea_e,Carbon
138,Octanoate (n-C8:0),EX_octa_e,Carbon
139,Ornithine,EX_orn_e,Carbon
140,Phenylacetaldehyde,EX_pacald_e,Carbon
141,Phenethylamine,EX_peamn_e,Carbon
142,Propionate,EX_ppa_e,Carbon
143,Propanal,EX_ppal_e,Carbon
144,Phenylpropanoate,EX_pppn_e,Carbon
145,L-Proline,EX_pro__L_e,Carbon
146,L-Prolinylglycine,EX_progly_e,Carbon
147,Psicoselysine,EX_psclys_e,Carbon
148,O-Phospho-L-serine,EX_pser__L_e,Carbon
149,Putrescine,EX_ptrc_e,Carbon
150,Pyruvate,EX_pyr_e,Carbon
151,Alpha-D-Ribose 5-phosphate,EX_r5p_e,Carbon
152,D-Ribose,EX_rib__D_e,Carbon
153,L-Rhamnose,EX_rmn_e,Carbon
154,D-Sorbitol,EX_sbt__D_e,Carbon
155,D-Serine,EX_ser__D_e,Carbon
156,L-Serine,EX_ser__L_e,Carbon
157,Succinate,EX_succ_e,Carbon
158,Sucrose,EX_sucr_e,Carbon
159,D-tartrate,EX_tartr__D_e,Carbon
160,L-tartrate,EX_tartr__L_e,Carbon
161,L-Threonine,EX_thr__L_e,Carbon
162,L-Threonine O-3-phosphate,EX_thrp_e,Carbon
163,Thymidine,EX_thymd_e,Carbon
164,Trehalose,EX_tre_e,Carbon
165,L-Tryptophan,EX_trp__L_e,Carbon
166,Tetradecanoate (n-C14:0),EX_ttdca_e,Carbon
167,Tetradecenoate (n-C14:1),EX_ttdcea_e,Carbon
168,UDP-N-acetyl-D-glucosamine,EX_uacgam_e,Carbon
169,UDP-N-acetyl-D-galactosamine,EX_udpacgal_e,Carbon
170,UDPglucose,EX_udpg_e,Carbon
171,UDPgalactose,EX_udpgal_e,Carbon
172,UDP-D-glucuronate,EX_udpglcur_e,Carbon
173,UMP,EX_ump_e,Carbon
174,Uridine,EX_uri_e,Carbon
175,Xanthine,EX_xan_e,Carbon
176,Xanthosine 5'-phosphate,EX_xmp_e,Carbon
177,Xanthosine,EX_xtsn_e,Carbon
178,D-Xylose,EX_xyl__D_e,Carbon
179,L-Xylulose,EX_xylu__L_e,Carbon
0,"2',3'-Cyclic AMP",EX_23camp_e,Nitrogen
1,"2',3'-Cyclic CMP",EX_23ccmp_e,Nitrogen
2,"2',3'-Cyclic GMP",EX_23cgmp_e,Nitrogen
3,"2',3'-Cyclic UMP",EX_23cump_e,Nitrogen
4,"2,3-diaminopropionate",EX_23dappa_e,Nitrogen
5,3'-AMP,EX_3amp_e,Nitrogen
6,3'-cmp,EX_3cmp_e,Nitrogen
7,3'-GMP,EX_3gmp_e,Nitrogen
8,3'-UMP,EX_3ump_e,Nitrogen
9,4-Aminobutanoate,EX_4abut_e,Nitrogen
