,rn,deltaG_prime,deltaG_prime (error),deltaG_prime_m,deltaG_prime_m (error)
93,ACGAM1PPpp,-22.206096796889277,2.639693693228734,-39.32093433161031,2.639693693228734
94,ACGAM1Ptex,0.0,0.0,0.0,0.0
95,ACGAMK,-11.564055446907787,2.584733931252212,-11.564055446907787,2.584733931252212
96,ACGAMT,5.368692379213826,4.9687652965267235,5.368692379213826,4.9687652965267235
97,ACGAptspp,-37.12406830622348,2.631238341098847,-37.12406830622348,2.631238341098847
98,ACGAtex,0.0,0.0,0.0,0.0
99,ACGK,24.625330027295263,3.080175450846587,24.625330027295263,3.080175450846587
100,ACGS,-25.175876484512628,3.3848619065428727,-25.175876484512628,3.3848619065428727
101,ACHBS,-18.86826225229123,4.908419565897986,-18.86826225229123,4.908419565897986
102,ACKr,13.94475673619479,0.5495866610344513,13.94475673619479,0.5495866610344513
103,ACLS,-27.588698713951146,3.7258944355514347,-27.588698713951146,3.7258944355514347
104,ACM6PH,-3.117551462432857,3.2412451569952165,-20.23238899715389,3.2412451569952165
105,ACMAMUT,-14.646908727319442,1.6146586564458063,-14.646908727319442,1.6146586564458063
106,ACMANAptspp,-38.710452777688204,3.1018143038713974,-38.710452777688204,3.1018143038713974
107,ACMANAtex,0.0,0.0,0.0,0.0
108,ACMUMptspp,-42.80167607336824,1.3046008407682312,-42.80167607336824,1.3046008407682312
109,3OXCOAT,-28.62263128045811,2.68482498906709,-28.62263128045811,2.68482498906709
110,ACMUMtex,0.0,0.0,0.0,0.0
111,ACNAMt2pp,0.0,0.0,0.0,0.0
112,3PEPTabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
113,3PEPTtex,0.0,0.0,0.0,0.0
114,3UMPtex,0.0,0.0,0.0,0.0
115,42A12BOOXpp,-93.53324652640595,4.578266391334068,-110.64808406112698,4.578266391334068
116,ACNAMtex,0.0,0.0,0.0,0.0
117,ACNML,7.6860848491928095,0.8839922932013968,-9.428752685528224,0.8839922932013968
118,ACOAD1f,34.557931246326234,3.910745436797862,34.557931246326234,3.910745436797862
119,4HOXPACDtex,0.0,0.0,0.0,0.0
120,4HTHRS,-14.865860403739894,1.2467083431376367,-31.980697938460928,1.2467083431376367
121,ACOAD3f,40.12638893627286,3.202008391982055,40.12638893627286,3.202008391982055
122,ACOAD5f,40.12638893627309,3.2020083919820546,40.12638893627309,3.2020083919820546
123,4PEPTabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
124,4PEPTtex,0.0,0.0,0.0,0.0
