,rn,deltaG_prime,deltaG_prime (error),deltaG_prime_m,deltaG_prime_m (error)
375,CYStpp,0.0,0.0,0.0,0.0
376,CYTBD2pp,-201.4777071659979,5.116914778136339,-192.9202883986374,5.116914778136339
377,CYTBDpp,-93.56589201140196,6.40353458464421,-85.00847324404144,6.40353458464421
378,CYTBO3_4pp,-93.56589201140196,6.40353458464421,-85.00847324404144,6.40353458464421
379,CYTD,-14.413081142954752,1.1081429844116577,-31.527918677675785,1.1081429844116577
380,CRNDt2rpp,0.0,0.0,0.0,0.0
381,CRNDtex,0.0,0.0,0.0,0.0
382,CRNabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
383,CRNt2rpp,0.0,0.0,0.0,0.0
384,CRNt7pp,0.0,0.0,0.0,0.0
385,CYTDH,1.8590274173970442,2.6068351239602894,-15.255810117323989,2.6068351239602894
386,CRNt8pp,0.0,0.0,0.0,0.0
387,CYTDK2,-12.48773243085327,3.074733177143582,-12.48773243085327,3.074733177143582
388,CYTDt2pp_copy1,0.0,0.0,0.0,0.0
389,CRNtex,0.0,0.0,0.0,0.0
390,CS,-38.19175034699356,0.4373194542475108,-38.19175034699356,0.4373194542475108
391,CSND,-29.599403273414396,2.4392750048804244,-46.71424080813543,2.4392750048804244
392,CYTDt2pp_copy2,0.0,0.0,0.0,0.0
393,CYTDtex,0.0,0.0,0.0,0.0
394,CSNt2pp,0.0,0.0,0.0,0.0
395,CSNtex,0.0,0.0,0.0,0.0
396,CTBTabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
397,CYTK1,1.749689251788709,2.931870753699311,1.749689251788709,2.931870753699311
398,CYTK2,1.4539126123295318,2.931870753699304,1.4539126123295318,2.931870753699304
399,D_LACt2pp,0.0,0.0,0.0,0.0
400,D_LACtex,0.0,0.0,0.0,0.0
401,CTBTt2rpp,0.0,0.0,0.0,0.0
402,ARBTNabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
403,DAAD,17.54947898480222,3.186554838833134,0.4346414500811875,3.186554838833134
404,DADA,-19.629878848432696,3.340125069338302,-36.74471638315373,3.340125069338302
405,DADK,3.214927298881662,1.4686952273286606,3.214927298881662,1.4686952273286606
406,DADNt2pp,0.0,0.0,0.0,0.0
407,DADNtex,0.0,0.0,0.0,0.0
408,CTPS2,-20.49107510815267,2.6309324726761827,-37.605912642873704,2.6309324726761827
409,CU1Opp,161.68396166430472,100000.0,178.79879919902575,100000.0
410,CU1abcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
411,CU2abcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
412,CU2tex,0.0,0.0,0.0,0.0
413,CU2tpp,0.0,0.0,0.0,0.0
414,CUt3,0.0,0.0,0.0,0.0
415,CUtex,0.0,0.0,0.0,0.0
416,ARBTNtex,0.0,0.0,0.0,0.0
417,DALAt2pp,0.0,0.0,0.0,0.0
418,ARBTNtonex,0.0,0.0,0.0,0.0
419,DALAtex,0.0,0.0,0.0,0.0
420,DAMPtex,0.0,0.0,0.0,0.0
421,DCYTt2pp,0.0,0.0,0.0,0.0
422,ARBTNtpp,0.0,0.0,0.0,0.0
423,DCYTtex,0.0,0.0,0.0,0.0
424,DDCAtexi,0.0,0.0,0.0,0.0
425,DAPAL,3.3741134577074376,4.257547768272014,-30.85556161173463,4.257547768272014
426,DAPDC,-16.0750094578367,3.7338383864291576,-33.18984699255773,3.7338383864291576
427,DAPE,-1.6534006597938742,2.9318707535840467,-1.6534006597938742,2.9318707535840467
428,DAPabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
429,DDGALK,-13.250120243698461,3.325767877253603,-13.250120243698461,3.325767877253603
430,DDGLCNt2rpp,0.0,0.0,0.0,0.0
431,DDGLCNtex,0.0,0.0,0.0,0.0
432,DDGLK,-22.115026377473328,3.8682241846033505,-22.115026377473328,3.8682241846033505
433,DDPA,-74.38231341206117,2.3508607109196444,-74.38231341206117,2.3508607109196444
434,DAPtex,0.0,0.0,0.0,0.0
435,DASYN140,-9.36575985445782,1.6556716377567893,-9.36575985445782,1.6556716377567893
436,DDPGALA,13.85083180600131,2.9318707536843656,-3.2640057287197237,2.9318707536843656
437,DGK1,5.0586843143371425,2.9318707536998385,5.0586843143371425,2.9318707536998385
438,DGMPtex,0.0,0.0,0.0,0.0
439,ARBTptspp,-39.63570905804005,1.3046008407682315,-39.63570905804005,1.3046008407682315
440,DASYN180,-9.365759854458275,1.655671637756789,-9.365759854458275,1.655671637756789
441,DGSNt2pp,0.0,0.0,0.0,0.0
442,DGSNtex,0.0,0.0,0.0,0.0
443,DHACOAH,0.4318169519001458,1.4927180898117227,0.4318169519001458,1.4927180898117227
444,DATPHs,-13.830899297279615,1.9946310904215723,-30.945736832000648,1.9946310904215723
445,DB4PS,-87.63011982264328,2.059503566623814,-104.74495735736431,2.059503566623814
446,DHAD1,-36.93062156944309,1.4003928195745539,-36.93062156944309,1.4003928195745539
447,ARBTtex,0.0,0.0,0.0,0.0
448,DHAD2,-36.92820374824767,1.4003928195745539,-36.92820374824767,1.4003928195745539
449,DHAPT,-39.94446345912132,2.2105486190824215,-39.94446345912132,2.2105486190824215
450,DBTS,6.435303032111477,6.845051414384457,6.435303032111477,6.845051414384457
451,DC6PH,-10.047055079855113,2.8688592393010746,-27.161892614576146,2.8688592393010746
452,DCAtex,0.0,0.0,0.0,0.0
453,DHAtex,0.0,0.0,0.0,0.0
454,ARBabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
455,DHAtpp,0.0,0.0,0.0,0.0
456,DHBD,-61.21376500868337,6.891371174898567,-61.21376500868337,6.891371174898567
457,DHBS,1166.1452260949286,100003.1629238989,1166.1452260949286,100003.1629238989
458,DHBSH,8.87350542646925,2.043407835980028,-8.241332108251783,2.043407835980028
459,DHCIND,-61.29014276953126,6.891371174898567,-61.29014276953126,6.891371174898567
460,DCMPtex,0.0,0.0,0.0,0.0
461,DCTPD,-29.978980622781222,1.9791550227382684,-47.093818157502255,1.9791550227382684
462,DCYTD,-20.674332115448436,1.9791550227382684,-37.78916965016947,1.9791550227382684
463,DHCINDO,-263.12824791094783,5.693062128467247,-246.0134103762268,5.693062128467247
464,ARBt2rpp,0.0,0.0,0.0,0.0
465,DHDPRy,-21.678849595963925,3.939174771293315,-21.678849595963925,3.939174771293315
466,DHDPS,-127.66319444526016,6.217347477286851,-110.54835691053913,6.217347477286851
467,ARBt3ipp,0.0,0.0,0.0,0.0
468,DHFR,-19.41003635982338,2.3935807720311515,-19.41003635982338,2.3935807720311515
469,DHFS,-19.84437864594465,3.3734905609339783,-19.84437864594465,3.3734905609339783
470,FFSD,-21.032551325204395,1.8791989201483517,-38.14738885992543,1.8791989201483517
471,ARBtex,0.0,0.0,0.0,0.0
472,DNMPPA,-8.84134827941184,2.653819172453917,-25.956185814132873,2.653819172453917
473,DHNAOT4,-92.27768889906295,3.820540311125126,-109.39252643378398,3.820540311125126
474,ARGAGMt7pp,0.0,0.0,0.0,0.0
475,DOGULNR,-16.214160258164384,0.9862312729818159,-16.214160258164384,0.9862312729818159
476,DHNPA2r,7.154008282291812,2.8626487464821313,-9.960829252429221,2.8626487464821313
477,DOPAtex,0.0,0.0,0.0,0.0
478,ARGDC,-2.5848615673507993,6.149141525688786,-19.699699102071833,6.149141525688786
479,DOXRBCNtex,0.0,0.0,0.0,0.0
480,ARGDCpp,-2.5848615673507993,6.149141525688786,-19.699699102071833,6.149141525688786
481,DOXRBCNtpp,0.0,0.0,0.0,0.0
482,DHORD2,-125.14661730116921,6.326652864530612,-125.14661730116921,6.326652864530612
483,ARGORNt7pp,0.0,0.0,0.0,0.0
484,DHORD5,-17.23480214657299,5.020368326934359,-17.23480214657299,5.020368326934359
485,DHORDfum,-51.53906233833382,2.3888958511819505,-51.53906233833382,2.3888958511819505
486,DHORTS,-6.7165935511651185,1.6927163689933142,-6.7165935511651185,1.6927163689933142
487,DHPPD,-61.29852036326497,6.891371174898567,-61.29852036326497,6.891371174898567
488,DPCOAK,3.2337011633221664,2.9318707536687416,3.2337011633221664,2.9318707536687416
489,DPR,-16.539899573491994,2.9318707536826993,-16.539899573491994,2.9318707536826993
490,DRPA,20.27286343711404,1.5066781969716792,3.158025902393007,1.5066781969716792
491,DHPPDA2,277.65016398587045,67666.15979196152,260.53532645114944,67666.15979196152
492,ARGSL,-9.660839482400704,4.887377162272685,-26.775677017121737,4.887377162272685
493,DHPS2,-62.37455451315421,6.515806060336924,-62.37455451315421,6.515806060336924
494,DHPTDCs2,-22.53745629467676,1.9279040147931072,-22.53745629467676,1.9279040147931072
495,DHPTDNR,48.60791485834602,100000.0,48.60791485834602,100000.0
496,DHPTDNRN,45.01760631607135,100000.0,45.01760631607135,100000.0
497,ARGSS,18.01961467614646,4.514448690483239,18.01961467614646,4.514448690483239
498,DHQS,-150.3530654258178,6.26463666848504,-167.46790296053882,6.26463666848504
499,DSERDHr,15.789421128743243,2.5886729258529377,15.789421128743243,2.5886729258529377
500,DSERt2pp,0.0,0.0,0.0,0.0
501,DSERtex,0.0,0.0,0.0,0.0
502,DHQTi,-5.290238624770225,2.0731456915762916,-5.290238624770225,2.0731456915762916
503,DIMPtex,0.0,0.0,0.0,0.0
504,DINSt2pp,0.0,0.0,0.0,0.0
505,DTARTD,-33.91381583709317,1.9230443379863245,-33.91381583709317,1.9230443379863245
506,ARGabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
507,DTMPK,-1.6266085839731659,2.9318707536993003,-1.6266085839731659,2.9318707536993003
508,DINStex,0.0,0.0,0.0,0.0
509,DTMPtex,0.0,0.0,0.0,0.0
510,ARGt3pp,0.0,0.0,0.0,0.0
511,DUMPtex,0.0,0.0,0.0,0.0
512,DURADx,-1.0517691709268888,3.8587636822632847,-1.0517691709268888,3.8587636822632847
513,DURIK1,-15.859759469392316,1.2408953619082081,-15.859759469392316,1.2408953619082081
514,DURIPP,3.345720957906508,2.7018329216283283,3.345720957906508,2.7018329216283283
515,DURIt2pp,0.0,0.0,0.0,0.0
516,DURItex,0.0,0.0,0.0,0.0
517,DKGLCNR2x,-21.955007493776748,1.1668755673134785,-21.955007493776748,1.1668755673134785
518,DUTPDP,-41.125742377442776,2.555219646682189,-58.24057991216381,2.555219646682189
519,ARGtex,0.0,0.0,0.0,0.0
520,DXPRIi,-13.560641145783961,1.233334332499362,-13.560641145783961,1.233334332499362
521,DXPS,-29.750470077335706,3.368942588159532,-29.750470077335706,3.368942588159532
522,DKGLCNR2y,-21.94096169167915,1.1532833009209535,-21.94096169167915,1.1532833009209535
523,DMATT,-79.23295133186664,2.7946857771206193,-79.23295133186664,2.7946857771206193
524,DMPPS,-63.006837320306886,1.8313092459546447,-63.006837320306886,1.8313092459546447
525,DMQMT,-9.944506832986747,100004.28623930423,-9.944506832986747,100004.28623930423
526,DXYLK,-14.065035032444428,1.2408953619082081,-14.065035032444428,1.2408953619082081
527,E4PD,-50.875336308584565,2.2115449471639903,-50.875336308584565,2.2115449471639903
528,DMSOR1,-224.1529071660575,5.712242680023711,-224.1529071660575,5.712242680023711
529,ASAD,-23.405973897439253,1.692716368916563,-6.29113636271822,1.692716368916563
530,DMSOR1pp,-224.1529071660575,5.712242680023711,-224.1529071660575,5.712242680023711
531,DMSOR2,-201.72089302221866,6.846083687086866,-201.72089302221866,6.846083687086866
532,DMSOR2pp,-201.72089302221866,6.846083687086866,-201.72089302221866,6.846083687086866
533,DMSOtex,0.0,0.0,0.0,0.0
534,ASCBPL,-7.139372419257086,2.5992763507806633,-7.139372419257086,2.5992763507806633
535,DMSOtpp,0.0,0.0,0.0,0.0
536,DMStex,0.0,0.0,0.0,0.0
537,FCLK,-19.83556494487226,3.0055675224971905,-19.83556494487226,3.0055675224971905
538,ECOAH5,-0.4320479587597248,1.4927180898117227,-0.4320479587597248,1.4927180898117227
539,ECOAH6,-0.43204795875954005,1.4927180898117234,-0.43204795875954005,1.4927180898117234
540,ECOAH7,-0.43204795876044955,1.4927180898117232,-0.43204795876044955,1.4927180898117232
541,ECOAH8,-0.43204795876044955,1.4927180898117232,-0.43204795876044955,1.4927180898117232
542,EDA,16.261353413095065,2.0731456915221154,-0.8534841216259679,2.0731456915221154
543,EDD,-42.84430879184397,2.570087971125043,-42.84430879184397,2.570087971125043
544,FCLPA,19.757530823551292,2.931870753646876,2.642693288830259,2.931870753646876
545,ENLIPAabctex,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
546,ENO,-3.8108474975009585,0.30491038799573195,-3.8108474975009585,0.30491038799573195
547,ECA4COLIPAabctex,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
548,ENTCS,-7066.100149245726,600023.5951086468,-7083.214986780447,600023.5951086468
549,ENTERES,-207.23418732788923,16.705820797754768,-241.4638623973313,16.705820797754768
550,ECA4OALpp,2841.9596498302517,592417.9355806601,2841.9596498302517,592417.9355806601
551,ECAP1pp,-16.24405576100594,1.532109721054077,-16.24405576100594,1.532109721054077
552,ECAP2pp,-435.1725170730913,349755.9239339619,-435.1725170730913,349755.9239339619
553,ECAP3pp,1263.3841329227218,596658.1226035828,1263.3841329227218,596658.1226035828
554,ECAtpp,0.0,0.0,0.0,0.0
555,ETHAAL,-35.92507972616204,3.5529729397608083,-53.03991726088307,3.5529729397608083
556,ETHAt2pp,0.0,0.0,0.0,0.0
557,ECOAH1,3.27438082399685,1.6927163688822497,3.27438082399685,1.6927163688822497
558,ECOAH2,0.6834442011950159,2.93187075365536,0.6834442011950159,2.93187075365536
559,ECOAH3,-0.4320479587597674,1.4927180898117232,-0.4320479587597674,1.4927180898117232
560,ETHAtex,0.0,0.0,0.0,0.0
561,ETHSO3abcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
562,ETHSO3tex,0.0,0.0,0.0,0.0
563,ECOAH4,-0.4320479587597248,1.4927180898117232,-0.4320479587597248,1.4927180898117232
564,ETOHtex,0.0,0.0,0.0,0.0
565,FDH4pp,-146.73955815058815,6.979874879089093,-146.73955815058815,6.979874879089093
566,ETOHtrpp,0.0,0.0,0.0,0.0
567,F6PA,20.25409089233338,2.2262232292070623,3.139253357612347,2.2262232292070623
568,F6PP,-12.030581088395955,0.6112292047930952,-29.14541862311699,0.6112292047930952
569,FHL,23.6426374139036,4.3628389223709565,6.527799879182567,4.3628389223709565
570,F6Pt6_2pp,0.0,0.0,0.0,0.0
571,FLVR,-7.947801794815973,4.478680149515264,-7.947801794815973,4.478680149515264
572,FDH5pp,-38.82774299599214,5.822045602495069,-38.82774299599214,5.822045602495069
573,FLVRx,-7.961847596913344,4.473132188445994,-7.961847596913344,4.473132188445994
574,FMNAT,-10.728316294101916,3.9321447177660898,-10.728316294101916,3.9321447177660898
575,FMNRx,-21.38452965417423,2.983191592971367,-21.38452965417423,2.983191592971367
576,F6Ptex,0.0,0.0,0.0,0.0
577,FMNRx2,-21.370483852076745,2.991504034215275,-21.370483852076745,2.991504034215275
578,FOMETRi,-44.719325773023115,7.547990203354282,-44.719325773023115,7.547990203354282
579,FORCT,5.985911765592618,6.8133600672385475,5.985911765592618,6.8133600672385475
580,FDMO,-99.71584244386662,70717.04724245003,-99.71584244386662,70717.04724245003
581,FORt2pp,0.0,0.0,0.0,0.0
582,FORtex,0.0,0.0,0.0,0.0
583,FORtppi,0.0,0.0,0.0,0.0
584,FRD2,-34.304260191761074,5.261309556556541,-34.304260191761074,5.261309556556541
585,FRD3,-11.872246047922005,6.474606062518539,-11.872246047922005,6.474606062518539
586,FRUK,-18.030504010587208,1.3024889469206886,-18.030504010587208,1.3024889469206886
587,FRULYSE,0.0,0.0,0.0,0.0
588,FDMO2,-79.09911267493064,70716.99031861461,-79.09911267493064,70716.99031861461
589,FRULYSt2pp,0.0,0.0,0.0,0.0
590,FRULYStex,0.0,0.0,0.0,0.0
591,FRUURt2rpp,0.0,0.0,0.0,0.0
592,FRUURtex,0.0,0.0,0.0,0.0
593,FRUpts2pp,-42.67390398351961,0.7242396460587598,-42.67390398351961,0.7242396460587598
594,FRUptspp,-41.749046132478725,1.3708912572580125,-41.749046132478725,1.3708912572580125
595,FRUtex,0.0,0.0,0.0,0.0
596,FTHFD,-23.586706895864268,2.756774814444508,-40.7015444305853,2.756774814444508
597,FTHFLi,-5.5577653167353205,2.742674514626967,-5.5577653167353205,2.742674514626967
598,FUCtex,0.0,0.0,0.0,0.0
599,FUCtpp,0.0,0.0,0.0,0.0
600,FUM,-3.4252911091613782,0.27824312134037177,-3.4252911091613782,0.27824312134037177
601,FUMt2_2pp,0.0,0.0,0.0,0.0
602,FUMt2_3pp,0.0,0.0,0.0,0.0
603,FACOAE160,-29.06625825092118,6.417452435738546,-46.18109578564221,6.417452435738546
604,FACOAE180,-29.293461602808605,1.4430114519027961,-46.40829913752964,1.4430114519027961
605,FUMtex,0.0,0.0,0.0,0.0
606,FUSAtex,0.0,0.0,0.0,0.0
607,FDMO3,-102.57035260844825,70716.94804797173,-102.57035260844825,70716.94804797173
608,FUSAtpp,0.0,0.0,0.0,0.0
609,G1PACT,-24.274045993791333,4.166839125505144,-24.274045993791333,4.166839125505144
610,G1PPpp,-16.63783462236497,0.8278751608393993,-33.752672157086,0.8278751608393993
611,FACOAE80,-29.297515982705022,1.4430114519027961,-46.412353517426055,1.4430114519027961
612,G1PTT,1.7375049105296227,2.9318707536987847,1.7375049105296227,2.9318707536987847
613,G1Ptex,0.0,0.0,0.0,0.0
614,G1SAT,-9.235568632549302,0.6673776072583432,-9.235568632549302,0.6673776072583432
615,FACOAL160t2pp,-12.961174850017443,6.424261095795173,-12.961174850017443,6.424261095795173
616,FACOAL180t2pp,-12.73397149812945,1.4625723967010196,-12.73397149812945,1.4625723967010196
617,FACOAL80t2pp,-12.729917118233317,1.4625723967010196,-12.729917118233317,1.4625723967010196
618,G2PP,-27.291111516173963,2.402327594176662,-44.405949050894996,2.402327594176662
619,G2PPpp,-27.291111516173963,2.402327594176662,-44.405949050894996,2.402327594176662
620,FADRx,-16.670558075002873,2.98319159297137,-16.670558075002873,2.98319159297137
621,FDMO6,-97.3730980540121,70716.99440559925,-97.3730980540121,70716.99440559925
622,FADRx2,-16.656512272905502,2.991504034215279,-16.656512272905502,2.991504034215279
623,FALDH2,-31.800522871393696,4.676716798549398,-31.800522871393696,4.676716798549398
624,FALDtex,0.0,0.0,0.0,0.0
625,FALDtpp,0.0,0.0,0.0,0.0
626,FALGTHLs,-10.785558354930458,2.8451702095699583,6.329279179790575,2.8451702095699583
627,G3PCabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
628,G3PCtex,0.0,0.0,0.0,0.0
629,G3PD2,23.216164813118212,0.8053510710869968,23.216164813118212,0.8053510710869968
630,G3PD5,-109.12099394738897,6.251800185501577,-109.12099394738897,6.251800185501577
631,G3PD6,-1.2091787927929545,4.925704744424832,-1.2091787927929545,4.925704744424832
632,FBA,22.975286452073505,0.5290407446286735,5.860448917352471,0.5290407446286735
633,FBA3,20.97018064693134,2.810075419685678,3.8553431122103063,2.810075419685678
634,G3PD7,-23.641192936632194,6.204974830265775,-23.641192936632194,6.204974830265775
635,FE2abcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
636,FBP,-12.038826053054287,0.69204544865972,-29.15366358777532,0.69204544865972
637,G3PEabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
638,FE2t2pp,0.0,0.0,0.0,0.0
639,G3PEtex,0.0,0.0,0.0,0.0
640,G3PGabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
641,G3PGtex,0.0,0.0,0.0,0.0
642,G3PIabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
643,G3PItex,0.0,0.0,0.0,0.0
644,FCI,5.459215863968325,2.931870753678486,5.459215863968325,2.931870753678486
645,G3PSabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
646,FE2t3pp,0.0,0.0,0.0,0.0
647,G3PStex,0.0,0.0,0.0,0.0
648,G3PT,-13.008065145164174,2.080885819123342,-30.122902679885208,2.080885819123342
649,GGPTRCS,-23.177537544058872,2.3814136225837546,-23.177537544058872,2.3814136225837546
650,GHBDHx,2.838039756250282,1.6964123939160636,2.838039756250282,1.6964123939160636
651,GHMT2r,-10.122834782970813,2.505303798192722,-10.122834782970813,2.505303798192722
652,G5SADs,-36.16492355655926,4.998797279051846,-36.16492355655926,4.998797279051846
653,FE2tex,0.0,0.0,0.0,0.0
654,G5SD,-8.23754313538145,1.6151493063354805,-25.352380670102484,1.6151493063354805
655,G6PDA,1.1161458948731422,2.0731456915442887,-15.998691639847891,2.0731456915442887
656,GK1,-0.009265939248848554,1.1969312231306526,-0.009265939248848554,1.1969312231306526
657,GLCATr,-2.2415603297017697,2.3742125212639893,-2.2415603297017697,2.3742125212639893
658,G6PDH2r,-6.245839795575421,1.3215711001706816,-6.245839795575421,1.3215711001706816
659,FE2tpp,0.0,0.0,0.0,0.0
660,G6PP,-9.269313804915008,0.4690844157372101,-26.38415133963604,0.4690844157372101
661,G6Pt6_2pp,0.0,0.0,0.0,0.0
662,G6Ptex,0.0,0.0,0.0,0.0
663,GAL1PPpp,-13.393928619632923,1.5272089232112536,-30.508766154353957,1.5272089232112536
664,GLCDpp,-171.2934092958705,6.944407048179991,-171.2934092958705,6.944407048179991
665,GLCNt2rpp,0.0,0.0,0.0,0.0
666,GAL1Ptex,0.0,0.0,0.0,0.0
667,GALBDtex,0.0,0.0,0.0,0.0
668,GALCTD,-41.01414329470042,1.246854108677939,-41.01414329470042,1.246854108677939
669,GALCTLO,15.807193436585067,1.4417098176564531,15.807193436585067,1.4417098176564531
670,GALCTND,-41.01413064661382,1.246854108677939,-41.01413064661382,1.246854108677939
671,GLCNtex,0.0,0.0,0.0,0.0
672,GALCTNLt2pp,0.0,0.0,0.0,0.0
673,FE3DCITtonex,0.0,0.0,0.0,0.0
674,GALCTNLtex,0.0,0.0,0.0,0.0
675,GALCTNt2pp,0.0,0.0,0.0,0.0
676,GALCTNtex,0.0,0.0,0.0,0.0
677,GALCTt2rpp,0.0,0.0,0.0,0.0
678,GLCRAL,25.217976039858428,2.8098060059050907,8.103138505137395,2.8098060059050907
679,GLCRD,-41.01414329470042,1.246854108677939,-41.01414329470042,1.246854108677939
680,GLCRt2rpp,0.0,0.0,0.0,0.0
681,GALCTtex,0.0,0.0,0.0,0.0
682,GALKr,-15.750543592966835,1.5125812130592051,-15.750543592966835,1.5125812130592051
683,GALM2pp,5.399309190526424,1.8010520299834862,5.399309190526424,1.8010520299834862
684,GALS3,1.6970898717918317,2.7651958625938002,-15.417747662929202,2.7651958625938002
685,GLCRtex,0.0,0.0,0.0,0.0
686,GLCTR1,-14.761742305455925,2.188046393510484,-14.761742305455925,2.188046393510484
687,GLCTR2,-14.761771977675096,2.1880463935104855,-14.761771977675096,2.1880463935104855
688,GALT1,-23.992430653682902,2.1850642883651354,-23.992430653682902,2.1850642883651354
689,FE3DHBZSabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
690,GALTptspp,-43.54472094033082,1.9696708750790952,-43.54472094033082,1.9696708750790952
691,GLCTR3,-14.761771977684191,2.188046393510485,-14.761771977684191,2.188046393510485
692,FE3DHBZStonex,0.0,0.0,0.0,0.0
693,GLCUR1Ptex,0.0,0.0,0.0,0.0
694,GALTtex,0.0,0.0,0.0,0.0
695,GLCURt2rpp,0.0,0.0,0.0,0.0
696,GLCURtex,0.0,0.0,0.0,0.0
697,GLCabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
698,GALURt2rpp,0.0,0.0,0.0,0.0
699,GALURtex,0.0,0.0,0.0,0.0
700,GALUi,-1.271852376393781,0.5509387186955516,-1.271852376393781,0.5509387186955516
701,GLCptspp,-45.43517126700061,0.6035605264525643,-45.43517126700061,0.6035605264525643
702,GLCt2pp,0.0,0.0,0.0,0.0
703,GALabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
704,GLCtex_copy1,0.0,0.0,0.0,0.0
705,GLCtex_copy2,0.0,0.0,0.0,0.0
706,FE3HOXUtex,0.0,0.0,0.0,0.0
707,GLGC,-8.407769450844995,1.3576276584863656,-8.407769450844995,1.3576276584863656
708,FE3HOXUtpp,0.0,0.0,0.0,0.0
709,GLNS,-14.828097107820064,0.8271014679972247,-14.828097107820064,0.8271014679972247
710,FE3HOXabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
711,GLNabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
712,GLNtex,0.0,0.0,0.0,0.0
713,GLTPD,13.603320115821077,1.1968357978675417,13.603320115821077,1.1968357978675417
714,GLU5K,28.82933858847639,2.301329657952362,28.82933858847639,2.301329657952362
715,GLUABUTt7pp,0.0,0.0,0.0,0.0
716,GALt2pp,0.0,0.0,0.0,0.0
717,GALtex,0.0,0.0,0.0,0.0
718,GAM6Pt6_2pp,0.0,0.0,0.0,0.0
719,GAMAN6Ptex,0.0,0.0,0.0,0.0
720,GAMptspp,-36.196468623334624,2.9815319496856936,-36.196468623334624,2.9815319496856936
721,GAMtex,0.0,0.0,0.0,0.0
722,GAPD,1.8077710559362004,0.40562633923936114,18.922608590657234,0.40562633923936114
723,GLUCYS,-34.715602812911264,4.916158607503946,-34.715602812911264,4.916158607503946
724,GLUDC,-21.31647113650331,3.4923942953144635,-38.43130867122434,3.4923942953144635
725,GLUDy,34.00104850732296,0.37462137523135214,16.88621097260193,0.37462137523135214
726,GLUN,-14.316375104780064,0.8598395737360716,-31.431212639501098,0.8598395737360716
727,GLUNpp,-14.316375104780064,0.8598395737360716,-31.431212639501098,0.8598395737360716
728,GLUPRT,-63.33937356828062,2.7233752167123892,-80.45421110300165,2.7233752167123892
729,GLUR,-0.5583430306327841,2.1478474808248023,-0.5583430306327841,2.1478474808248023
730,GARFT,2.4963322555211107,5.59546413453043,2.4963322555211107,5.59546413453043
731,FE3HOXtonex,0.0,0.0,0.0,0.0
732,GART,-3.0614330612146645,5.59963423687056,-3.0614330612146645,5.59963423687056
733,GLUSy,-48.31742361210274,0.9436721038249153,-48.31742361210274,0.9436721038249153
734,GLUabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
735,GBBTNtex,0.0,0.0,0.0,0.0
736,GCALDD,-65.66369289588715,2.3474883719925264,-65.66369289588715,2.3474883719925264
737,GDMANE,0.0,0.0,0.0,0.0
738,GLUt2rpp,0.0,0.0,0.0,0.0
739,FE3Ri,-189.3624075990059,8.795612260882715,-189.3624075990059,8.795612260882715
740,GLUt4pp,0.0,0.0,0.0,0.0
741,GLUtex,0.0,0.0,0.0,0.0
742,GDPDPK,-15.484237368693869,6.311344839943195,-15.484237368693869,6.311344839943195
743,GDPMNH,-16.293120568253585,3.7671568459663227,-33.40795810297462,3.7671568459663227
744,GLXCL,-16.485827380239726,4.442147662848598,-16.485827380239726,4.442147662848598
745,FE3abcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
746,GLYALDtex,0.0,0.0,0.0,0.0
747,GDPMNP,-30.587923496948633,3.4774838971663424,-47.70276103166967,3.4774838971663424
748,GDPTPDP,-28.776610440516748,6.932886819349208,-45.89144797523778,6.932886819349208
749,GLYALDtpp,0.0,0.0,0.0,0.0
750,GDPtex,0.0,0.0,0.0,0.0
751,FE3tex,0.0,0.0,0.0,0.0
752,GF6PTA,-15.432520999653036,2.244383467875189,-15.432520999653036,2.244383467875189
