,reaction,gene,gene_name,deltaG_prime_m,deltaG_prime_m (error),wild type coenzyme,mutant coenzyme,max_deltaG (WT),min_deltaG (WT),max_deltaG (mutant),min_deltaG (mutant),direction (wild type),direction (mutant)
34,GAPD,b1779,gapA,18.92260859,0.405626339,NAD(H),NADP(H),67.46411928162037,-1.0319947488027275,86.03145912904411,17.535345098621004,reversible,irreversible (backward)
35,GCALDD,b1415,aldA,-65.6636929,2.347488372,NAD(H),NADP(H),-51.37023922359117,-97.03431524387324,-32.802899376167446,-78.46697539644951,irreversible (forward),irreversible (forward)
36,GGGABADr,b1300,puuC,-42.80867492,1.106737806,NADP(H),NAD(H),-9.947881396167446,-55.61195741644951,-28.515221243591174,-74.17929726387325,irreversible (forward),irreversible (forward)
37,GHBDHx,b3882,yihU,2.838039756,1.696412394,NAD(H),NADP(H),34.208662099873244,-11.455413920408827,15.641322252449514,-30.022753767832555,reversible,reversible
38,GLTPD,b2091,gatD,13.60332012,1.196835798,NAD(H),NADP(H),27.896773796408826,-17.767302223873244,46.464113643832555,0.8000376235504856,reversible,irreversible (backward)
39,GLUDy,b1761,gdhA,16.88621097,0.374621375,NADP(H),NAD(H),38.33098548876204,-30.165128541661062,19.76364564133831,-48.732468389084794,reversible,reversible
40,GLUSy,b3213,gltD,-48.31742361,0.943672104,NADP(H),NAD(H),-12.682103103409453,-104.01025514397358,5.8852367440142785,-85.44291529654987,irreversible (forward),reversible
41,GLYCDx,b3945,gldA,21.47825415,1.805242501,NAD(H),NADP(H),35.77170782640883,-9.892368193873242,54.33904767383255,8.674971653550488,reversible,irreversible (backward)
42,GLYCL,b0116,lpd,1.498032779,4.066891939,NAD(H),NADP(H),27.207505460479343,-86.95268459022583,45.77484530790307,-68.3853447428021,reversible,reversible
43,GMPR,b0104,guaC,240.27160690000002,67665.82578,NADP(H),NAD(H),241.65887039137903,173.1627563609559,260.22621023880276,191.73009620837965,irreversible (backward),irreversible (backward)
44,GND,b2029,gnd,-6.7982579229999995,3.17634026,NADP(H),NAD(H),14.646516595762042,-53.849597434661064,-3.9208232516616905,-72.41693728208479,reversible,irreversible (forward)
45,GOFUCR,b2052,wcaG,3.5552321160000004,1.5859759759999998,NADP(H),NAD(H),16.358514612449515,-29.305561407832556,34.92585445987324,-10.738221560408826,reversible,reversible
46,GTHOr,b3500,gor,-30.25427429,0.7839423609999999,NADP(H),NAD(H),-28.867010798621006,-97.36312482904411,-10.299670951197275,-78.79578498162037,irreversible (forward),irreversible (forward)
47,HADPCOADH3,b1395,paaH,16.21425367,0.986231273,NAD(H),NADP(H),30.50770734640883,-15.156368673873242,49.07504719383256,3.4109711735504877,reversible,irreversible (backward)
48,HISTD,b2020,hisD,-15.87060582,2.241588356,NAD(H),NADP(H),-10.11573647732338,-55.779812497605455,27.018943217524082,-18.645132802757992,irreversible (forward),reversible
49,HXAND,b2867,xdhB,13.84186664,3.94172295,NAD(H),NADP(H),28.135320316408826,-17.528755703873244,46.702660163832554,1.0385841435504855,reversible,irreversible (backward)
50,ICDHyr,b1136,icd,-11.69998167,3.186776652,NADP(H),NAD(H),9.744792848762042,-58.75132118166106,-8.82254699866169,-77.3186610290848,reversible,irreversible (forward)
51,IDOND,b4267,idnD,-16.21397612,0.986231273,NAD(H),NADP(H),15.156646223873242,-30.50742979640883,-3.410693623550488,-49.07476964383255,reversible,irreversible (forward)
52,IDOND2,b4267,idnD,-16.19993032,1.011096647,NADP(H),NAD(H),-3.3966478235504862,-49.060723843832555,15.170692023873244,-30.493383996408827,irreversible (forward),reversible
53,IMPD,b2508,guaB,17.07285195,3.981784994,NAD(H),NADP(H),31.366305626408828,-14.297770393873243,49.933645473832556,4.269569453550487,reversible,irreversible (backward)
54,IPMD,b0073,leuB,16.22257229,0.986231273,NAD(H),NADP(H),30.516025966408826,-15.148050053873245,49.08336581383256,3.419289793550485,reversible,irreversible (backward)
55,KARA1,b3774,ilvC,16.20009824,1.011096647,NADP(H),NAD(H),49.06089176383256,3.3968157435504853,30.493551916408826,-15.170524103873245,irreversible (backward),reversible
56,KARA2,b3774,ilvC,-16.20010475,1.011096647,NADP(H),NAD(H),-3.3968222535504875,-49.06089827383256,15.170517593873242,-30.49355842640883,irreversible (forward),reversible
57,LALDO2x,b3945,gldA,-14.57142214,1.688422991,NAD(H),NADP(H),16.799200203873244,-28.864875816408826,-1.7681396435504855,-47.43221566383255,reversible,irreversible (forward)
58,LCADi,b1415,aldA,-51.17364086,1.989106394,NAD(H),NADP(H),-36.880187183591175,-82.54426320387324,-18.312847336167444,-63.97692335644951,irreversible (forward),irreversible (forward)
59,LCARS,b2799,fucO,-24.0058129,1.501614024,NAD(H),NADP(H),7.364809443873245,-38.299266576408826,-11.202530403550485,-56.86660642383255,reversible,irreversible (forward)
60,LSERDHr,b1539,ydfG,14.37643862,1.885474898,NADP(H),NAD(H),47.23723214383256,1.5731561235504863,28.669892296408825,-16.994183723873242,irreversible (backward),reversible
61,M1PD,b3600,mtlD,7.59729107,1.206312474,NAD(H),NADP(H),21.890744746408828,-23.773331273873243,40.45808459383255,-5.205991426449514,reversible,reversible
62,MALDDH,b1800,dmlA,2.9183314360000003,5.189064369,NAD(H),NADP(H),5.795766107338309,-62.70034792308479,24.36310595476204,-44.13300807566106,reversible,reversible
63,MANAO,b4323,uxuB,14.12020888,1.82611561,NAD(H),NADP(H),28.413662556408827,-17.250413463873244,46.981002403832555,1.316926383550486,reversible,irreversible (backward)
64,MDH,b3236,mdh,27.09839043,0.30488783199999997,NAD(H),NADP(H),41.391844106408826,-4.272231913873245,59.95918395383255,14.295107933550485,reversible,irreversible (backward)
65,ME1,b1479,maeA,-4.984909326,3.118328567,NAD(H),NADP(H),-2.1074746546616914,-70.60358868508479,16.45986519276204,-52.03624883766106,irreversible (forward),reversible
66,ME2,b2463,maeB,-4.998955129,3.137103713,NADP(H),NAD(H),16.445819389762043,-52.050294640661065,-2.1215204576616906,-70.61763448808479,reversible,irreversible (forward)
67,MTHFD,b0529,folD,7.023262532,1.1400859909999999,NADP(H),NAD(H),39.88405605583256,-5.780019964449513,21.316716208408828,-24.347359811873243,reversible,reversible
68,MTHFR2,b3941,metF,-41.067716299999994,4.182738122,NAD(H),NADP(H),-9.69709395612675,-55.36116997640882,-28.26443380355048,-73.92850982383254,irreversible (forward),irreversible (forward)
69,NTRIR2x,b3365,nirB,-381.056015,3.672046929,NAD(H),NADP(H),-332.60822398866236,-378.2723000089444,-388.3102435309335,-433.9743195512156,irreversible (forward),irreversible (forward)
70,OXCOAHDH,b1387,paaZ,-15.4267661,6.783052794,NADP(H),NAD(H),17.434027423832553,-28.230048596449514,-1.133312423591173,-46.797388443873245,reversible,irreversible (forward)
71,P5CD,b1014,putA,-13.55729831,5.381158649,NAD(H),NADP(H),0.736155366408827,-44.927920653873244,19.303495213832555,-26.360580806449512,reversible,reversible
72,P5CR,b0386,proC,-16.34555649,6.029368087999999,NADP(H),NAD(H),-3.542273993550486,-49.206350013832555,15.025065853873244,-30.639010166408827,irreversible (forward),reversible
73,PDH,b0116,lpd,-34.20191188,3.222666706,NAD(H),NADP(H),2.923579806549867,-88.40457223401427,21.49091965397359,-69.83723238659054,reversible,reversible
74,PDX5PS,b0052,pdxA,-240.0193654,5.52779285,NAD(H),NADP(H),-214.30989271852064,-328.4700827692258,-195.74255287109693,-309.9027429218021,irreversible (forward),irreversible (forward)
75,PERD,b2320,pdxB,16.22766159,0.986231273,NAD(H),NADP(H),30.521115266408827,-15.142960753873243,49.08845511383255,3.4243790935504865,reversible,irreversible (backward)
76,PGCD,b2913,serA,31.441875399999997,0.564070298,NAD(H),NADP(H),45.735329076408824,0.07125305612675348,64.30266892383256,18.63859290355048,irreversible (backward),irreversible (backward)
77,PPND,b2600,tyrA,-27.85679942,11.28822052,NAD(H),NADP(H),-24.97936474866169,-93.4754787790848,-6.4120249012379595,-74.90813893166106,irreversible (forward),irreversible (forward)
78,PPPNDO,b2542,hcaD,-350.46620160000003,8.041878864,NAD(H),NADP(H),-284.8475222409152,-353.34363627133837,-303.41486208833896,-371.91097611876205,irreversible (forward),irreversible (forward)
79,QUINDH,b1692,ydiB,13.64401442,2.9318707539999997,NAD(H),NADP(H),27.93746809640883,-17.726607923873246,46.50480794383255,0.8407319235504858,reversible,irreversible (backward)
80,SBTPD,b2705,srlD,12.05850376,1.734758784,NAD(H),NADP(H),26.351957436408828,-19.312118583873243,44.919297283832556,-0.7447787364495131,reversible,reversible
81,SGSAD,b1746,astD,-46.12208058,1.089656573,NAD(H),NADP(H),-31.828626903591175,-77.49270292387325,-13.261287056167447,-58.925363076449514,irreversible (forward),irreversible (forward)
82,SHCHD2,b3368,cysG,-45.24857153,100000.0,NAD(H),NADP(H),-30.955117853591172,-76.61919387387324,-12.387778006167444,-58.05185402644951,irreversible (forward),irreversible (forward)
83,SSALx,b1525,sad,-41.25983675,2.362143584,NAD(H),NADP(H),-26.96638307359117,-72.63045909387324,-8.399043226167443,-54.06311924644951,irreversible (forward),irreversible (forward)
84,SULR,b2764,cysJ,-111.91440870000001,4.694120658,NADP(H),NAD(H),-119.16863723093354,-164.8327132512156,-63.46661768866235,-109.13069370894442,irreversible (forward),irreversible (forward)
